Date,ATVI,T,CTL,CMCSA,DISH,EA,IPG,NFLX,OMC,TTWO,VZ,DIS
2000-03-27,0.99,16.25,13.23,10.23,54.82,19.09,33.98,,30.76,9.17,21.11,32.27
2000-03-28,0.99,15.99,13.01,9.79,51.3,18.77,34.26,,30.9,9.0,21.07,31.65
2000-03-29,0.99,15.9,13.27,9.87,50.19,17.62,35.88,,30.37,8.96,21.59,31.55
2000-03-30,0.97,15.66,13.18,10.01,49.26,17.58,35.75,,29.38,8.29,21.33,31.11
2000-03-31,0.91,15.85,13.23,11.05,56.29,17.8,35.14,,29.07,8.83,21.28,31.89
2000-04-03,0.84,16.84,13.34,11.18,52.86,16.67,35.23,,29.52,8.62,21.96,32.32
2000-04-04,0.8,17.31,13.67,10.96,48.72,16.45,35.14,,28.1,8.0,22.2,31.79
2000-04-05,0.8,17.42,14.12,10.43,45.38,17.05,35.0,,29.62,8.42,22.0,30.92
2000-04-06,0.83,17.63,14.21,10.5,48.77,17.7,35.88,,30.2,8.62,22.85,31.26
2000-04-07,0.61,17.54,14.14,10.53,51.93,15.92,35.28,,30.18,8.08,22.66,31.69
2000-04-10,0.61,17.5,14.07,10.11,45.51,14.94,34.68,,29.29,7.08,22.15,31.94
2000-04-11,0.53,17.87,14.25,9.67,43.33,15.02,34.12,,28.96,6.83,22.46,32.85
2000-04-12,0.52,17.78,13.9,10.59,36.3,13.95,33.37,,28.28,6.33,22.57,30.97
2000-04-13,0.52,17.78,13.56,9.89,37.72,14.62,32.4,,27.44,6.42,22.11,30.34
2000-04-14,0.49,16.12,12.83,9.39,30.51,14.16,30.45,,25.5,5.5,21.43,30.05
2000-04-17,0.48,15.84,12.32,9.76,36.61,14.03,28.26,,26.39,5.83,21.25,29.95
2000-04-18,0.47,15.7,12.65,9.59,41.19,14.94,28.59,,26.2,6.58,21.28,30.53
2000-04-19,0.47,15.86,12.29,9.67,37.36,14.0,28.63,,25.89,6.67,21.65,31.65
2000-04-20,0.5,15.58,12.03,9.72,35.23,14.7,29.1,,25.95,6.67,21.12,32.66
2000-04-24,0.49,15.98,11.98,10.11,36.3,13.31,28.87,,26.49,6.42,21.71,31.11
2000-04-25,0.52,17.0,12.2,10.84,41.6,13.3,29.52,,27.93,6.0,22.06,31.31
2000-04-26,0.5,16.65,11.96,10.53,40.93,15.08,30.68,,28.63,6.0,21.56,32.76
2000-04-27,0.51,16.36,10.42,10.68,43.91,15.38,30.31,,28.88,6.04,21.04,32.18
2000-04-28,0.47,16.57,8.73,10.44,45.38,15.12,30.49,,28.28,6.42,21.04,33.72
2000-05-01,0.47,16.88,9.4,10.28,44.27,14.72,30.49,,28.08,6.96,20.33,32.47
2000-05-02,0.51,16.03,8.84,9.57,41.06,13.34,29.94,,28.06,7.29,19.28,33.24
2000-05-03,0.5,15.86,9.04,8.82,39.64,13.52,29.61,,26.92,7.04,19.44,31.89
2000-05-04,0.52,15.53,9.11,9.44,38.61,13.8,30.91,,26.9,7.08,18.87,30.68
2000-05-05,0.55,16.27,9.15,9.2,38.57,15.42,31.38,,28.2,7.37,18.91,30.58
2000-05-08,0.56,16.22,9.11,9.04,37.23,14.62,31.05,,27.48,7.33,19.1,31.36
2000-05-09,0.55,16.01,9.2,8.85,35.0,14.56,31.61,,27.38,7.42,18.92,31.5
2000-05-10,0.46,17.07,9.11,8.43,31.0,14.27,31.56,,26.94,7.12,18.8,31.74
2000-05-11,0.51,17.24,9.44,8.7,34.56,16.45,31.05,,27.07,7.58,19.19,31.79
2000-05-12,0.52,16.96,9.69,8.6,32.33,15.09,32.26,,27.31,7.54,18.58,31.55
2000-05-15,0.55,17.4,10.0,8.74,35.09,16.0,31.79,,27.23,7.83,19.3,31.55
2000-05-16,0.54,17.28,10.0,8.8,35.45,16.64,32.68,,27.93,8.0,19.37,32.61
2000-05-17,0.53,17.14,10.2,8.3,33.22,16.06,32.35,,27.34,8.58,19.02,32.66
2000-05-18,0.5,16.74,10.29,8.2,32.82,15.44,31.79,,26.65,8.42,18.89,31.84
2000-05-19,0.51,16.15,9.95,7.97,30.15,14.48,31.05,,26.01,8.33,18.45,31.74
2000-05-22,0.46,16.08,9.64,8.02,33.13,14.34,30.54,,26.06,8.21,18.34,31.6
2000-05-23,0.47,15.82,9.75,8.07,29.88,13.58,30.82,,25.93,7.83,17.81,30.97
2000-05-24,0.49,16.31,9.53,8.4,27.57,15.44,30.63,,26.14,7.58,18.08,30.39
2000-05-25,0.47,15.91,9.46,8.43,25.74,14.75,31.08,,26.03,6.87,17.75,30.78
2000-05-26,0.46,16.12,9.38,8.37,27.57,14.5,31.12,,25.5,6.58,18.12,30.82
2000-05-30,0.48,16.74,9.82,9.14,30.95,15.69,32.19,,26.24,6.67,18.43,32.37
2000-05-31,0.47,16.53,9.64,10.06,28.46,15.97,32.01,,26.06,6.04,18.54,32.61
2000-06-01,0.47,16.65,10.08,9.87,28.5,17.27,32.1,,26.51,6.83,18.76,32.27
2000-06-02,0.53,17.02,10.49,10.23,33.49,17.92,33.45,,27.56,7.79,18.8,31.26
2000-06-05,0.52,16.76,10.31,9.91,30.24,17.73,34.01,,28.2,7.75,18.58,31.4
2000-06-06,0.5,17.14,10.33,9.39,27.21,17.02,33.36,,28.39,7.46,18.95,31.6
2000-06-07,0.5,17.54,10.06,9.42,26.36,17.94,33.08,,28.54,7.25,18.95,31.07
2000-06-08,0.5,17.78,9.99,9.24,27.17,17.12,32.8,,27.53,7.33,19.15,31.26
2000-06-09,0.49,18.21,11.04,9.67,27.34,16.72,32.94,,27.86,7.54,18.91,32.13
2000-06-12,0.47,17.71,10.57,9.59,24.67,15.86,32.45,,27.58,8.21,18.87,31.48
2000-06-13,0.47,18.16,10.73,9.46,24.94,16.12,32.85,,27.88,8.25,19.44,31.07
2000-06-14,0.47,18.91,10.73,9.47,26.85,15.56,33.27,,27.76,8.5,20.11,31.5
2000-06-15,0.47,18.42,10.82,9.79,25.61,16.3,33.73,,28.33,8.46,19.83,32.47
2000-06-16,0.46,17.87,10.81,9.54,24.98,16.58,34.9,,29.69,8.42,19.3,31.84
2000-06-19,0.47,17.97,11.36,9.82,28.81,17.66,35.36,,29.5,7.87,19.98,32.42
2000-06-20,0.46,17.85,11.13,9.34,28.28,17.69,35.41,,29.73,7.29,20.14,32.27
2000-06-21,0.46,18.21,11.29,9.57,29.75,18.16,35.18,,30.18,7.58,19.92,32.27
2000-06-22,0.45,18.58,11.33,9.69,27.08,19.28,34.52,,30.2,7.54,20.4,32.08
2000-06-23,0.44,18.37,11.02,9.42,27.17,18.73,34.52,,29.98,7.62,20.11,30.63
2000-06-26,0.47,17.92,10.98,9.64,26.05,19.03,33.36,,28.21,7.71,19.46,31.31
2000-06-27,0.47,17.61,10.95,9.94,23.96,19.23,32.71,,27.8,7.42,18.8,30.92
2000-06-28,0.46,16.99,10.83,10.12,22.22,19.42,31.94,,27.98,7.75,18.44,30.27
2000-06-29,0.43,17.24,10.64,9.87,23.92,19.58,31.87,,27.74,7.75,18.06,30.53
2000-06-30,0.49,16.65,10.26,10.41,23.59,18.23,32.05,,27.76,8.08,17.81,30.0
2000-07-03,0.48,17.61,10.66,10.48,23.47,18.84,32.1,,28.19,8.08,19.44,29.81
2000-07-05,0.48,17.31,10.69,10.24,22.53,18.73,32.52,,27.94,8.25,19.24,29.42
2000-07-06,0.49,16.6,10.37,10.18,25.61,19.92,31.59,,27.55,8.67,19.04,28.99
2000-07-07,0.54,17.0,10.55,10.16,26.14,20.77,30.8,,26.5,8.65,19.6,29.37
2000-07-10,0.59,17.05,10.44,9.59,26.28,20.44,29.82,,25.25,7.92,19.35,29.23
2000-07-11,0.56,16.88,10.51,9.54,27.52,20.47,30.75,,27.02,8.21,18.6,27.83
2000-07-12,0.6,17.09,10.66,9.34,29.66,20.27,31.03,,27.16,8.58,18.45,27.88
2000-07-13,0.58,17.4,10.66,9.82,28.99,20.0,31.5,,26.01,7.83,18.22,28.7
2000-07-14,0.63,17.26,10.73,9.87,31.49,19.97,32.8,,27.27,7.67,17.52,28.94
2000-07-17,0.66,16.46,10.54,9.92,31.0,20.77,32.54,,26.82,7.5,17.52,28.26
2000-07-18,0.67,16.55,10.73,9.64,29.66,20.72,32.71,,26.42,7.58,17.27,27.64
2000-07-19,0.64,16.6,10.6,9.57,29.57,21.48,32.94,,26.5,7.46,16.63,28.6
2000-07-20,0.65,16.41,10.82,9.71,31.8,21.75,32.75,,26.85,7.25,15.66,29.86
2000-07-21,0.63,16.36,10.35,9.19,32.02,20.8,32.38,,26.51,6.79,16.99,28.94
2000-07-24,0.63,16.43,10.42,8.85,29.97,20.2,32.71,,26.77,6.62,17.25,28.31
2000-07-25,0.62,16.74,10.51,9.15,30.82,19.2,33.27,,27.82,6.67,17.19,28.99
2000-07-26,0.62,16.41,10.51,9.05,29.17,21.66,30.66,,27.41,7.17,16.63,29.42
2000-07-27,0.65,16.29,10.26,9.07,27.79,23.25,30.56,,27.06,6.71,16.63,29.37
2000-07-28,0.64,16.17,10.28,8.23,26.19,22.58,30.0,,26.59,6.33,16.63,29.28
2000-07-31,0.66,16.19,10.46,9.04,28.1,22.11,29.86,,26.5,6.62,16.54,29.81
2000-08-01,0.66,16.62,10.64,8.72,29.3,21.0,30.19,,26.48,6.58,16.96,30.53
2000-08-02,0.67,16.86,11.04,8.7,29.93,20.84,29.82,,26.42,6.66,16.94,31.02
2000-08-03,0.77,16.74,10.84,9.05,30.11,21.34,29.72,,26.18,6.48,16.99,32.85
2000-08-04,0.79,16.71,11.04,8.85,28.9,21.48,30.1,,26.4,6.14,16.61,32.8
2000-08-07,0.83,16.88,10.93,8.67,28.77,22.16,30.1,,26.88,6.08,16.94,31.74
2000-08-08,0.83,16.17,10.55,8.5,28.95,21.5,30.14,,27.35,7.29,15.04,31.98
2000-08-09,0.98,15.86,10.42,8.72,28.5,21.06,30.75,,26.88,7.29,14.29,31.45
2000-08-10,0.88,16.1,10.75,8.84,27.79,21.06,30.28,,26.79,7.25,14.91,31.31
2000-08-11,0.9,16.19,10.73,8.77,27.48,21.48,30.1,,26.5,7.04,14.69,31.4
2000-08-14,0.93,15.93,10.66,8.82,27.12,22.39,29.86,,26.46,7.33,15.04,31.65
2000-08-15,0.95,15.98,10.93,9.37,27.61,22.88,29.72,,26.51,7.5,14.86,31.31
2000-08-16,0.96,15.72,10.66,9.61,27.12,22.59,29.49,,25.99,7.5,14.77,30.82
2000-08-17,0.98,15.03,10.49,10.23,28.86,23.0,29.17,,26.36,7.58,14.42,31.07
2000-08-18,0.97,14.95,10.49,10.18,28.95,22.61,29.21,,26.18,7.5,15.02,30.24
2000-08-21,0.97,15.24,10.4,9.97,29.33,22.72,28.75,,25.79,7.67,15.15,29.71
2000-08-22,0.99,15.07,10.26,9.99,31.31,23.69,29.17,,25.01,7.96,14.77,29.33
2000-08-23,1.04,15.29,10.13,9.94,31.89,23.81,29.72,,25.46,7.83,14.33,28.94
