Date,AAP,AMZN,AZO,BBY,BKNG,BWA,KMX,CCL,DHI,DRI,DLTR,EBAY,F,GPS,GRMN,GPC,HRB,HOG,HAS,HD,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MCD,MGM,MHK,NWL,NKE,JWN,NVR,ORLY,PHM,PVH,RL,ROST,RCL,SBUX,TPR,TGT,TIF,TJX,TSCO,VFC,WHR,WYNN,YUM
2000-03-27,,73.12,25.62,23.77,552.0,2.22,1.66,15.09,2.6,5.51,10.0,12.37,13.17,30.85,,12.08,5.18,28.19,10.73,43.04,33.42,7.71,9.52,7.87,,10.17,11.86,11.52,20.89,9.66,20.06,13.36,1.4,7.91,53.12,8.19,3.96,6.37,0.0,2.19,21.66,4.15,,23.52,29.83,1.25,1.08,1.05,34.15,,3.5
2000-03-28,,70.12,26.25,25.77,521.62,2.21,1.94,14.83,2.55,5.96,10.0,11.55,13.26,30.65,,11.95,5.2,27.35,10.81,42.79,32.99,7.55,9.43,7.77,,10.18,11.9,11.57,21.11,10.34,20.31,13.16,1.43,7.71,52.06,7.69,3.88,6.42,0.0,2.19,21.53,4.03,,23.67,30.5,1.27,1.1,1.04,33.96,,3.48
2000-03-29,,66.25,26.81,26.09,490.88,2.16,1.94,14.83,2.5,6.21,11.11,10.27,13.36,32.56,,11.95,5.12,27.43,10.17,45.79,33.25,7.7,9.92,7.75,,10.47,12.57,11.9,22.13,10.93,21.12,13.47,1.52,7.59,51.81,7.22,4.06,6.76,0.0,2.41,21.0,4.21,,24.96,29.3,1.27,1.09,1.05,35.62,,3.42
2000-03-30,,66.5,27.19,26.38,486.75,2.23,1.75,14.67,2.63,6.37,11.47,10.69,13.9,33.27,,12.11,5.1,27.02,10.61,44.79,34.53,8.09,9.8,7.89,,11.03,12.96,11.83,22.62,10.81,23.38,13.16,1.51,7.74,54.0,7.5,4.19,6.71,0.0,2.3,20.65,4.22,,26.52,30.41,1.38,1.12,1.04,36.07,,3.69
2000-03-31,,67.0,27.75,27.03,480.0,2.42,1.66,15.13,2.56,6.44,11.58,9.08,13.69,33.14,,12.27,5.14,27.3,10.61,43.12,35.54,8.25,10.6,8.17,,11.1,12.59,11.99,22.47,11.31,22.38,13.71,1.54,8.1,54.0,7.09,4.28,6.99,0.0,2.5,19.6,4.76,,25.69,30.89,1.34,1.15,1.01,35.43,,3.66
2000-04-03,,63.56,27.88,26.07,392.25,2.33,1.91,14.6,2.6,6.41,12.17,7.39,14.01,33.27,,12.43,5.25,28.55,10.57,45.46,36.11,8.51,10.32,7.77,,11.51,12.74,12.28,23.14,11.31,23.0,14.12,1.56,8.33,54.25,7.38,4.28,7.11,0.0,2.32,18.55,4.4,,26.46,30.66,1.44,1.15,1.01,35.88,,3.58
2000-04-04,,63.94,27.06,24.36,451.5,2.29,1.88,14.79,2.55,6.59,11.58,8.62,14.62,33.96,,12.49,5.11,28.98,10.57,43.2,34.55,8.07,10.38,7.39,,11.35,11.9,12.54,23.16,11.28,22.94,14.85,1.52,8.5,54.44,7.38,4.19,6.93,0.0,2.27,18.51,4.61,,25.88,29.92,1.41,1.15,1.05,37.51,,3.68
2000-04-05,,62.19,27.69,24.42,431.62,2.37,1.84,14.67,2.55,6.75,11.36,8.56,14.7,28.86,,12.49,5.24,28.16,10.73,42.79,34.98,8.16,10.26,7.72,,11.34,11.94,12.37,23.18,11.66,22.0,14.74,1.53,8.94,54.88,7.41,4.4,6.76,0.0,2.24,18.2,4.2,,25.49,28.03,1.43,1.15,1.02,36.64,,3.81
2000-04-06,,64.25,28.62,25.16,462.75,2.41,1.72,14.71,2.63,6.57,11.85,9.39,14.88,29.32,,12.59,5.22,28.55,11.04,44.08,36.04,9.17,10.54,7.7,,11.43,11.66,12.71,22.24,11.96,22.38,14.64,1.62,8.77,55.81,7.22,4.4,6.93,0.0,2.27,18.25,3.99,,25.43,28.51,1.39,1.16,1.06,36.71,,3.72
2000-04-07,,67.56,28.94,25.69,468.38,2.41,1.53,14.94,2.66,6.53,11.6,9.33,14.42,30.36,,12.33,5.31,28.57,10.77,42.87,36.82,9.55,10.48,7.72,,11.53,11.81,12.23,22.24,12.75,22.25,14.4,1.67,8.7,55.88,6.97,4.41,7.05,0.0,2.29,18.25,4.25,,25.52,28.33,1.38,1.2,1.02,36.37,,3.73
2000-04-10,,63.38,29.19,25.36,437.25,2.43,1.56,15.17,2.59,6.71,11.29,8.03,15.22,29.86,,12.46,5.52,29.41,11.12,44.58,37.71,9.56,10.63,7.63,,11.69,12.2,12.3,21.86,13.4,22.25,14.43,1.67,8.79,55.38,6.84,4.36,7.39,0.0,2.35,18.11,3.89,,25.84,28.49,1.34,1.15,1.01,37.17,,3.72
2000-04-11,,63.38,29.75,25.01,390.38,2.46,1.47,15.13,2.58,6.73,11.26,8.03,15.48,28.94,,12.91,5.39,30.44,11.12,45.04,36.76,10.07,10.72,7.51,,11.58,12.35,12.49,22.65,13.51,22.25,14.54,1.76,8.84,55.0,6.53,4.41,7.39,0.0,2.47,17.5,4.03,,25.04,27.96,1.31,1.22,1.12,37.05,,3.83
2000-04-12,,56.38,29.19,26.01,360.75,2.56,1.31,14.6,2.64,6.82,11.81,7.4,15.98,29.19,,12.69,5.54,30.27,10.57,44.12,37.13,9.36,10.85,7.72,,12.11,12.26,12.64,21.83,13.96,23.06,14.92,1.73,9.27,54.81,6.44,4.64,7.11,0.0,2.46,17.33,3.99,,24.85,28.51,1.3,1.2,1.14,38.6,,3.88
2000-04-13,,48.0,27.81,26.62,372.75,2.51,1.23,14.6,2.69,6.55,11.24,7.16,16.22,27.74,,12.62,5.44,27.82,10.77,41.78,35.05,9.18,10.85,7.75,,11.34,11.81,12.06,20.51,13.78,23.0,15.06,1.71,9.22,54.75,6.72,4.68,7.28,0.0,2.46,17.55,4.23,,24.27,26.97,1.27,1.11,1.14,38.68,,3.75
2000-04-14,,46.88,26.0,22.04,351.28,2.39,1.25,13.42,2.48,6.28,10.72,7.2,15.57,25.86,,12.3,4.98,26.14,9.85,40.28,31.77,8.65,10.38,7.18,,10.82,11.23,11.66,20.17,12.72,22.06,13.95,1.66,8.1,53.81,6.47,4.38,6.59,0.0,2.35,16.1,3.73,,23.48,23.48,1.19,1.11,1.11,37.17,,3.6
2000-04-17,,47.06,25.94,22.9,312.38,2.33,1.09,13.57,2.41,6.37,11.38,7.39,17.01,25.95,,12.62,5.11,26.66,10.05,38.27,31.4,8.41,10.48,7.02,,10.38,10.86,11.35,20.25,12.34,22.12,15.06,1.64,7.67,52.75,6.5,4.46,6.65,0.0,2.24,16.63,3.83,,22.44,24.2,1.21,1.06,1.11,36.86,,3.58
2000-04-18,,54.94,26.31,25.07,384.0,2.41,1.16,14.52,2.5,6.32,11.57,8.41,16.5,24.78,,12.72,4.95,27.09,10.17,39.28,34.01,8.62,10.57,7.39,,10.49,10.82,11.54,19.54,12.69,21.81,14.23,1.65,8.21,52.75,6.53,4.42,6.71,0.0,2.21,16.63,3.97,,23.84,26.23,1.21,1.12,1.11,36.37,,3.57
2000-04-19,,53.44,25.44,24.44,390.38,2.45,1.09,14.48,2.5,6.48,11.28,7.75,16.39,26.11,,12.69,5.01,27.43,10.25,39.28,34.31,8.76,10.48,7.32,,10.45,11.06,11.61,19.87,12.96,22.31,14.23,1.72,8.38,52.81,6.09,4.45,6.93,0.0,2.32,17.15,3.95,,23.54,25.88,1.23,1.08,1.11,35.09,,3.5
2000-04-20,,52.38,24.94,25.05,407.25,2.43,1.12,14.6,2.39,6.89,10.97,7.75,16.43,25.78,,12.72,5.15,27.86,9.93,39.19,35.39,8.61,10.6,7.39,,10.55,11.03,11.71,21.53,13.31,23.44,14.5,1.71,8.14,53.19,6.38,4.52,7.05,0.0,2.18,17.15,3.97,,23.8,26.48,1.24,1.09,1.11,37.32,,3.78
2000-04-24,,49.81,24.94,24.71,370.5,2.41,1.12,14.45,2.52,6.84,11.32,7.32,16.49,26.28,,12.98,5.23,27.56,10.01,39.82,34.68,9.06,10.69,7.16,,10.77,11.18,11.83,23.44,13.02,24.62,14.61,1.68,8.52,53.62,6.22,4.47,6.88,0.0,2.17,15.8,4.24,,24.14,26.71,1.23,1.07,1.16,38.75,,3.9
2000-04-25,,52.44,25.06,24.91,387.38,2.56,1.19,14.71,2.56,6.98,11.44,7.92,16.39,25.7,,13.49,5.27,28.34,10.21,39.44,36.41,9.14,10.97,7.28,,10.44,11.42,11.73,23.29,13.63,24.56,14.71,1.78,8.94,53.5,6.66,4.51,6.93,0.0,2.18,15.36,4.05,,24.57,27.34,1.2,1.09,1.25,40.26,,3.92
2000-04-26,,53.5,23.94,26.2,383.25,2.56,1.16,15.02,2.59,6.98,12.86,7.7,16.39,26.2,,13.52,5.04,28.64,10.33,40.45,36.11,9.14,10.72,7.09,,10.38,10.93,12.04,23.37,13.49,24.31,14.61,1.71,8.48,59.0,7.16,4.58,7.5,0.0,2.15,15.01,3.94,,24.33,27.57,1.12,1.12,1.19,40.04,,4.06
2000-04-27,,52.88,23.06,26.26,389.62,2.59,1.16,14.94,2.6,6.75,13.22,8.35,16.43,24.53,,13.39,4.91,28.29,10.41,39.32,35.33,8.8,10.54,7.14,,10.19,10.54,12.11,23.33,13.28,24.62,14.4,1.69,7.79,59.0,6.81,4.47,7.28,0.0,2.08,14.7,3.93,,23.37,27.17,1.09,1.12,1.19,38.9,,4.2
2000-04-28,,55.19,22.94,25.38,379.5,2.64,1.28,15.17,2.54,6.71,12.86,8.21,16.59,24.45,,13.49,4.8,27.39,10.17,37.77,33.38,8.85,10.54,7.02,,9.44,10.13,12.18,22.88,13.9,24.81,13.92,1.69,7.64,62.0,6.75,4.41,7.67,0.0,2.15,14.57,3.21,,22.87,26.85,1.16,0.92,1.19,39.36,,4.0
2000-05-01,,59.94,23.06,26.7,381.38,2.66,1.28,14.79,2.55,6.62,12.88,8.03,16.38,25.32,,13.59,4.89,28.9,10.21,37.52,36.06,9.52,10.72,7.11,,9.91,10.24,12.56,23.37,13.9,25.5,13.81,1.81,8.17,63.25,6.97,4.45,7.5,0.0,2.22,14.7,3.28,,23.45,27.73,1.17,0.94,1.25,40.49,,3.97
2000-05-02,,56.12,22.5,26.03,357.0,2.66,1.38,15.4,2.58,6.53,12.9,7.4,16.14,25.95,,13.49,4.04,28.81,10.01,37.98,35.93,9.79,10.32,6.9,,9.7,10.52,12.61,23.55,13.66,24.5,13.64,1.76,8.03,62.0,6.72,4.5,7.56,0.0,2.18,15.01,3.39,,23.67,26.97,1.15,0.95,1.21,40.19,,3.99
2000-05-03,,54.12,21.88,25.3,348.09,2.53,1.38,15.17,2.52,6.23,12.11,7.22,16.08,24.45,,13.39,3.81,27.56,9.93,36.1,33.29,8.72,10.26,6.93,,9.15,10.16,12.18,22.43,13.46,24.56,14.43,1.65,7.37,61.0,6.5,4.43,7.39,0.0,2.04,16.06,3.38,,21.91,25.33,1.08,0.95,1.21,40.64,,3.92
2000-05-04,,55.06,22.12,23.89,347.62,2.59,1.5,14.9,2.59,6.25,12.69,7.06,15.95,23.95,,13.36,3.83,27.48,9.81,35.1,32.94,8.95,10.32,6.98,,9.03,10.34,12.3,21.49,13.72,24.94,13.88,1.66,7.38,61.62,6.5,4.49,7.39,0.0,2.13,16.76,3.55,,22.72,24.98,1.13,1.01,1.21,39.28,,3.66
2000-05-05,,58.5,21.94,23.16,344.62,2.65,1.5,15.32,2.75,6.57,13.56,6.91,16.02,22.91,,13.14,3.68,28.59,9.97,35.64,34.5,9.28,10.11,7.1,,9.12,10.77,12.21,21.45,14.08,24.94,14.36,1.66,7.59,62.5,6.94,4.51,7.56,0.0,2.19,16.15,3.58,,23.39,24.96,1.14,1.06,1.21,40.38,,3.81
2000-05-08,,56.02,22.44,22.1,329.25,2.6,1.34,15.74,2.7,6.41,13.61,6.63,16.23,22.12,,13.33,3.7,28.29,10.01,35.81,33.81,9.36,9.83,6.79,,9.35,10.86,12.35,21.53,14.61,23.94,15.19,1.68,7.62,62.31,6.88,4.38,7.56,0.0,2.18,16.1,3.5,,23.45,25.95,1.1,1.04,1.19,38.22,,3.7
2000-05-09,,56.25,23.12,21.2,317.62,2.68,1.25,15.47,2.79,6.53,13.17,6.25,16.08,22.62,,13.23,3.53,27.99,10.21,35.1,33.29,9.67,9.86,6.84,,9.39,10.84,12.54,22.24,14.96,23.88,14.74,1.68,7.69,62.62,6.88,4.51,7.45,0.0,2.26,15.88,3.54,,23.86,26.23,1.14,1.05,1.22,38.38,,3.72
2000-05-10,,53.31,22.62,21.8,309.38,2.69,1.22,16.01,2.63,6.55,13.08,5.73,15.83,22.04,,13.07,3.58,28.08,10.17,36.1,33.33,9.62,9.89,6.6,,9.25,10.91,12.85,23.22,15.05,24.19,14.88,1.65,7.47,62.38,6.94,4.4,7.16,0.0,2.22,15.71,3.46,,24.18,25.9,1.12,1.01,1.22,37.39,,3.73
2000-05-11,,54.88,23.94,23.1,297.0,2.78,1.22,16.16,2.74,6.75,13.71,6.07,16.04,23.49,,13.1,3.79,28.42,10.45,36.02,33.94,9.67,10.14,6.98,,9.28,11.08,12.61,22.95,15.61,25.44,15.09,1.66,7.31,62.38,7.09,4.63,7.16,0.0,2.25,15.75,3.53,,24.01,26.46,1.11,0.98,1.22,39.7,,3.82
2000-05-12,,53.75,23.69,22.45,298.12,2.74,1.28,15.89,2.84,6.73,13.21,6.26,16.17,24.01,,13.17,3.74,28.85,10.73,36.1,34.66,9.72,9.74,7.08,,9.15,11.29,13.23,22.58,16.2,24.44,14.88,1.67,6.95,62.38,6.88,4.65,6.99,0.0,2.31,16.1,3.46,,24.15,27.45,1.11,0.98,1.22,38.53,,3.69
2000-05-15,,56.06,26.88,23.43,302.62,2.72,1.19,16.12,2.82,6.69,13.74,6.58,15.87,24.12,,13.07,3.81,28.68,11.09,37.77,35.5,9.82,9.74,7.15,,9.66,11.81,13.73,22.95,16.28,24.12,15.06,1.72,6.97,61.94,7.59,4.58,7.16,0.0,2.38,16.45,3.45,,24.4,27.77,1.2,1.0,1.23,39.32,,3.64
2000-05-16,,59.06,26.5,24.53,324.38,2.79,1.19,16.69,2.85,6.93,14.11,6.96,16.12,24.37,,13.33,3.77,28.72,11.24,35.72,35.63,9.72,10.01,7.26,,9.49,11.86,13.92,23.55,15.9,24.69,15.16,1.72,7.11,61.75,7.62,4.7,7.11,0.0,2.34,17.06,3.53,,24.55,26.94,1.23,1.01,1.25,39.56,,3.82
2000-05-17,,61.0,26.0,23.59,304.12,2.76,1.22,16.47,2.75,6.78,13.56,6.61,15.87,24.62,,13.01,3.66,28.29,11.13,34.93,36.67,9.49,10.03,7.17,,9.2,11.49,13.63,23.48,15.81,23.81,15.23,1.61,6.87,61.25,7.38,4.49,6.99,0.0,2.15,16.63,3.44,,23.99,26.02,1.21,0.98,1.21,38.31,,3.8
2000-05-18,,55.38,26.75,24.2,282.38,2.74,1.22,17.57,2.65,6.78,13.5,6.4,16.25,24.58,,12.91,3.61,27.82,11.56,34.43,37.45,9.5,10.06,7.03,,9.34,11.9,13.63,23.22,15.67,23.56,15.03,1.59,7.04,60.25,7.5,4.43,7.39,0.0,2.16,17.06,3.26,,24.43,25.07,1.23,0.97,1.23,39.41,,3.82
2000-05-19,,52.62,26.81,23.28,268.5,2.72,1.22,16.66,2.57,6.64,13.26,6.1,16.19,24.24,,12.91,3.53,27.22,10.93,34.47,36.28,9.52,9.57,6.79,,9.18,11.57,14.09,22.73,15.87,23.12,14.27,1.56,6.75,59.19,7.38,4.38,7.96,0.0,2.18,16.8,3.2,,24.19,25.03,1.26,0.91,1.21,37.63,,3.64
2000-05-22,,51.88,27.75,22.67,266.62,2.64,1.19,15.97,2.54,6.64,13.04,7.03,15.53,23.29,,12.88,3.44,27.35,10.81,33.68,35.54,9.65,9.72,6.79,,9.32,11.45,13.78,23.37,15.61,23.69,14.2,1.54,6.85,57.31,7.31,4.4,8.07,0.0,2.22,16.28,3.17,,24.17,24.01,1.25,0.94,1.21,37.13,,3.64
2000-05-23,,46.69,27.5,22.94,243.0,2.61,1.22,15.74,2.52,6.8,12.69,5.98,15.57,23.33,,12.85,3.33,26.66,11.01,33.26,36.5,9.55,9.75,6.7,,9.21,11.59,13.56,23.52,15.55,24.38,14.34,1.61,6.87,56.88,7.31,4.41,7.45,0.0,2.23,16.01,3.01,,23.09,22.72,1.3,0.94,1.23,37.51,,3.74
2000-05-24,,48.56,26.81,21.06,219.0,2.62,1.22,16.43,2.58,6.96,12.4,6.7,15.74,22.47,,13.07,3.44,26.87,10.89,31.25,33.46,9.39,9.57,7.05,,8.73,11.31,14.04,23.29,15.58,23.38,14.68,1.69,6.58,56.25,7.41,4.45,7.28,0.0,2.07,16.01,3.29,,22.23,21.73,1.28,0.92,1.27,38.05,,3.86
2000-05-25,,45.5,27.06,21.98,217.5,2.6,1.22,15.66,2.61,6.73,12.6,6.24,15.36,22.89,,12.91,3.33,26.14,10.89,31.09,33.98,9.69,9.69,7.03,,8.91,10.77,13.59,22.43,15.49,23.19,13.99,1.69,6.59,55.5,7.28,4.42,7.45,0.0,2.12,16.01,3.17,,22.38,21.03,1.28,0.87,1.22,37.06,,3.69
2000-05-26,,46.5,27.19,19.6,216.75,2.52,1.25,15.27,2.61,6.84,12.4,6.39,14.6,22.97,,12.49,3.28,26.27,10.49,31.34,33.81,9.28,9.63,6.91,,8.72,10.86,13.54,22.69,15.7,22.69,14.2,1.7,6.49,55.12,6.94,4.51,7.39,0.0,2.09,16.28,3.09,,22.21,20.34,1.27,0.92,1.22,35.84,,3.62
2000-05-30,,51.75,27.81,20.65,235.5,2.58,1.38,16.65,2.63,6.66,12.86,6.91,14.87,22.93,,12.66,3.45,26.49,10.41,31.59,34.37,9.43,9.55,7.17,,8.96,11.01,13.99,21.98,15.93,22.94,14.58,1.72,6.69,55.75,6.91,4.47,7.56,0.0,2.18,17.33,3.51,,21.3,20.64,1.29,0.92,1.21,36.87,,3.52
2000-05-31,,48.31,28.0,20.12,228.75,2.51,1.34,16.61,2.59,6.23,13.22,6.46,14.72,23.34,,12.27,3.55,25.63,10.45,32.76,35.89,9.45,9.92,7.12,,8.88,11.47,13.8,21.53,15.31,23.81,14.61,1.67,6.95,55.0,6.81,4.55,7.94,0.0,2.19,17.24,3.61,,21.6,22.51,1.33,0.85,1.21,34.44,,3.46
