Date,MO,ADM,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,EL,GIS,HSY,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PG,SYY,TSN,WMT,WBA
2000-03-27,1.56,6.07,16.56,1.22,17.89,9.72,13.57,5.26,5.68,38.97,16.14,7.07,12.54,1.23,8.44,13.27,25.68,6.0,9.13,12.79,,0.09,19.81,14.81,10.35,7.89,38.38,19.45
2000-03-28,1.56,5.92,16.45,1.2,18.44,9.64,14.24,5.18,5.74,37.28,17.12,7.11,12.19,1.21,8.3,13.13,25.53,5.94,9.25,12.9,,0.09,19.9,15.28,10.17,7.99,37.73,19.58
2000-03-29,1.52,5.96,16.99,1.21,18.84,10.07,14.13,5.46,5.64,36.82,17.29,7.22,13.59,1.23,8.51,13.92,26.24,6.09,9.76,13.19,,0.09,20.35,15.73,10.17,7.89,40.67,19.12
2000-03-30,1.71,6.15,17.66,1.32,19.1,10.43,14.07,6.0,5.74,36.64,17.82,7.44,14.23,1.27,9.41,14.3,27.96,6.0,9.92,14.2,,0.09,22.0,15.55,10.69,8.33,40.85,18.48
2000-03-31,1.65,6.11,17.45,1.38,19.39,10.08,14.12,5.96,6.0,38.33,17.67,7.5,14.15,1.4,9.96,14.16,27.69,6.05,10.24,14.11,,0.09,21.35,15.22,10.8,8.67,39.11,18.94
2000-04-03,1.81,6.22,17.41,1.43,20.31,10.59,15.15,6.12,6.06,38.28,17.89,7.42,13.65,1.24,9.89,13.85,29.29,6.5,9.84,14.48,,0.09,22.11,15.95,10.93,7.99,42.36,18.71
2000-04-04,1.76,6.26,18.05,1.37,20.83,11.25,15.2,6.22,5.98,39.42,17.89,7.67,14.14,1.34,9.82,14.44,29.17,6.95,9.92,14.15,,0.09,22.31,17.02,11.48,8.38,41.54,19.68
2000-04-05,1.78,6.29,17.89,1.37,20.86,10.23,14.64,6.26,6.12,39.01,18.62,7.57,13.94,1.35,9.48,14.57,27.59,6.97,10.22,14.29,,0.09,22.5,16.51,11.43,8.67,40.33,19.81
2000-04-06,1.82,6.37,17.21,1.34,20.31,9.82,14.78,6.18,6.06,37.83,18.57,7.59,13.81,1.34,9.41,14.5,27.72,6.74,10.6,14.7,,0.09,22.54,16.82,11.57,8.09,42.32,19.54
2000-04-07,1.79,6.22,16.07,1.32,20.94,9.92,14.85,6.16,6.13,38.51,18.81,7.44,13.41,1.32,9.41,13.75,27.78,6.63,10.76,14.61,,0.09,22.04,17.01,11.36,7.89,42.58,19.53
2000-04-10,1.75,6.59,16.57,1.36,21.16,9.66,15.09,6.06,5.9,39.56,18.95,7.38,13.48,1.33,9.13,13.92,27.69,6.63,10.54,14.59,,0.09,22.19,17.7,11.25,7.94,44.0,20.04
2000-04-11,1.73,6.52,16.32,1.35,21.93,10.13,15.68,6.37,5.97,41.88,18.13,7.5,13.92,1.34,9.13,13.99,28.43,7.1,10.74,14.9,,0.09,22.69,17.81,11.42,8.09,43.87,20.14
2000-04-12,1.74,6.44,16.86,1.33,23.54,10.41,15.53,6.53,6.36,40.15,18.11,7.68,14.26,1.36,9.13,14.19,29.42,7.36,11.15,14.88,,0.09,22.8,18.58,11.27,7.84,43.23,20.78
2000-04-13,1.77,6.55,17.68,1.37,23.76,10.15,14.78,6.57,6.17,39.83,18.33,7.8,14.03,1.39,9.06,14.74,29.88,6.99,11.43,14.81,,0.09,22.31,18.63,10.95,8.43,41.58,20.5
2000-04-14,1.68,6.15,16.71,1.31,21.08,10.09,13.96,6.3,5.8,37.1,16.59,7.62,13.66,1.35,8.85,14.78,28.09,6.56,10.74,13.95,,0.09,22.31,16.89,10.64,7.89,38.08,19.35
2000-04-17,1.69,6.26,17.14,1.34,23.87,10.41,14.43,6.37,5.99,35.82,17.07,7.72,13.59,1.4,8.92,15.29,29.01,6.2,11.01,14.4,,0.09,22.42,18.5,10.81,8.14,37.38,20.41
2000-04-18,1.65,5.96,16.21,1.33,22.44,10.44,13.84,6.39,6.11,37.14,16.59,7.6,13.52,1.39,8.58,15.16,28.77,6.18,10.48,14.53,,0.09,22.0,17.88,10.59,8.09,37.3,20.23
2000-04-19,1.66,5.92,16.04,1.31,21.38,10.56,13.95,6.24,5.95,38.1,16.37,7.59,13.81,1.39,8.85,15.09,28.64,6.2,10.46,14.37,,0.09,21.62,17.88,10.81,8.04,38.03,20.23
2000-04-20,1.7,5.78,16.04,1.34,21.82,10.62,14.31,6.22,5.96,39.97,16.45,7.62,13.85,1.37,8.85,14.54,29.45,6.09,10.54,14.7,,0.09,22.76,18.66,10.83,8.14,39.94,20.64
2000-04-24,1.72,5.89,16.07,1.35,22.33,10.66,14.76,6.51,5.93,40.83,16.1,7.75,14.26,1.36,8.85,14.37,29.82,6.5,10.42,15.73,,0.09,23.19,19.08,10.98,8.14,40.76,21.15
2000-04-25,1.75,5.81,16.57,1.29,21.89,10.84,14.91,6.53,5.94,41.56,15.42,8.0,14.26,1.41,9.34,15.26,30.13,6.69,10.7,16.06,,0.09,22.92,17.39,11.21,8.57,41.32,21.47
2000-04-26,1.77,5.85,15.68,1.34,20.57,10.62,14.53,6.6,5.87,40.06,14.89,7.94,13.83,1.37,8.99,14.47,29.63,6.61,10.48,15.8,,0.09,23.11,16.44,11.58,8.57,40.67,21.38
2000-04-27,1.75,5.89,15.25,1.35,22.19,10.36,14.78,6.47,5.78,40.88,14.98,7.81,13.66,1.36,8.78,13.13,29.08,6.56,10.1,15.23,,0.09,22.92,16.47,11.36,8.57,39.94,21.15
2000-04-28,1.74,5.89,14.86,1.43,21.71,10.15,14.39,6.28,5.93,39.42,15.59,7.66,13.21,1.32,8.85,13.34,28.61,6.39,9.9,14.99,,0.09,22.46,16.17,11.32,8.14,38.34,20.69
2000-05-01,1.87,6.07,14.89,1.51,21.79,9.93,13.88,6.56,5.95,42.61,15.35,7.67,13.16,1.33,8.85,13.82,28.21,6.26,10.14,15.23,,0.09,22.65,16.16,11.43,8.14,40.11,20.64
2000-05-02,1.89,6.11,15.14,1.52,21.42,9.93,14.13,6.47,5.94,39.92,15.66,7.63,13.32,1.3,8.85,13.64,28.58,6.5,10.04,14.99,,0.09,22.96,16.19,11.34,8.09,39.89,21.24
2000-05-03,1.85,6.07,16.89,1.51,21.05,10.41,13.98,6.81,6.08,38.05,15.31,7.97,13.66,1.32,8.85,13.99,28.55,6.37,10.08,15.71,,0.09,22.99,16.41,11.55,7.99,36.99,19.49
2000-05-04,1.85,5.92,16.32,1.54,21.34,10.41,14.09,6.91,6.12,35.68,15.2,8.01,13.72,1.35,9.89,13.99,28.86,6.52,10.95,16.19,,0.09,22.46,16.36,11.79,8.38,35.31,19.26
2000-05-05,1.87,5.99,16.21,1.57,21.6,10.11,14.39,6.85,5.97,35.59,15.2,8.01,13.46,1.32,9.2,13.89,29.11,6.74,10.76,15.65,,0.09,22.96,16.47,11.57,8.09,35.52,19.58
2000-05-08,1.92,6.07,16.86,1.54,22.05,10.41,14.51,6.97,6.05,34.59,15.11,8.04,14.01,1.33,9.13,13.89,28.95,6.63,11.03,16.37,,0.09,23.22,16.56,11.9,7.94,36.26,20.69
2000-05-09,1.88,6.03,16.61,1.53,23.01,10.84,14.86,7.22,6.2,35.87,15.2,8.05,14.14,1.33,9.2,13.75,29.85,6.65,11.15,16.24,,0.08,23.07,16.98,11.9,7.94,36.69,20.5
2000-05-10,1.89,6.14,16.43,1.55,23.38,11.34,14.65,7.14,6.02,35.68,15.7,8.05,14.52,1.33,9.13,13.75,29.63,6.93,11.05,16.33,,0.09,23.99,17.37,12.06,8.09,39.24,20.96
2000-05-11,1.87,6.25,16.71,1.57,24.34,11.5,15.16,7.12,6.3,36.32,16.23,8.09,14.52,1.48,9.13,13.47,30.4,7.1,11.19,16.87,,0.09,24.49,17.59,12.34,8.28,38.77,21.42
2000-05-12,1.93,6.22,16.64,1.49,23.45,11.22,14.82,7.22,6.28,34.86,16.21,8.09,14.34,1.44,9.2,13.85,29.74,6.91,10.85,16.37,,0.09,24.18,17.35,12.21,8.18,39.33,20.71
2000-05-15,2.18,6.25,17.07,1.52,23.34,11.11,14.92,7.14,6.28,35.68,16.23,8.1,14.97,1.46,9.2,14.74,30.13,7.17,10.81,16.57,,0.08,24.1,17.56,12.17,7.94,39.46,20.83
2000-05-16,2.18,6.22,17.39,1.51,22.67,10.51,14.62,7.24,6.33,37.42,16.78,8.14,14.92,1.45,9.78,15.09,30.25,7.23,10.7,16.61,,0.08,23.95,17.45,12.34,8.18,40.15,20.92
2000-05-17,2.17,6.33,16.71,1.5,23.38,10.36,14.75,7.12,6.08,34.81,17.03,8.22,14.59,1.42,9.57,14.95,30.9,7.12,10.4,16.66,,0.08,23.87,17.59,12.21,8.14,39.03,20.8
2000-05-18,2.09,6.33,16.29,1.5,24.11,10.62,14.87,7.1,6.03,34.09,17.49,8.18,14.72,1.46,9.5,14.88,30.06,7.06,10.28,16.54,,0.08,24.19,17.52,12.35,8.14,40.11,20.71
2000-05-19,2.19,6.25,16.11,1.47,23.01,10.75,14.34,7.12,6.11,32.81,16.12,8.38,14.46,1.47,9.71,15.4,29.88,6.91,10.54,16.43,,0.08,24.03,17.61,12.24,7.84,39.5,20.48
2000-05-22,2.18,6.63,16.25,1.46,23.41,10.88,14.24,7.39,6.23,31.45,15.92,8.34,14.79,1.44,9.57,16.12,29.63,6.89,10.62,17.03,,0.08,24.33,17.56,12.22,7.89,39.72,20.25
2000-05-23,2.17,6.48,16.25,1.45,22.82,10.74,14.09,7.47,6.25,29.62,15.04,8.34,15.22,1.44,9.57,16.74,29.51,6.74,10.62,17.23,,0.07,24.14,17.42,12.34,7.84,39.59,20.25
2000-05-24,2.27,7.0,18.07,1.49,23.52,11.31,14.26,7.6,6.34,23.24,15.02,8.43,15.56,1.53,10.2,17.22,29.54,6.86,10.7,18.24,,0.07,24.95,17.83,12.62,7.7,39.37,19.88
2000-05-25,2.23,7.15,17.71,1.43,22.56,11.31,14.1,7.6,6.18,21.88,15.44,8.38,15.62,1.5,10.06,16.19,28.86,6.67,10.56,17.62,,0.07,24.45,17.84,12.07,7.84,38.08,20.57
2000-05-26,2.18,7.11,18.11,1.45,22.45,11.72,14.04,7.64,6.1,22.51,15.62,8.63,16.13,1.57,10.06,16.32,28.64,7.14,10.46,17.34,,0.07,25.1,17.93,12.43,7.7,37.38,20.62
2000-05-30,2.1,7.22,18.14,1.47,22.93,11.57,13.63,7.8,6.09,23.7,15.9,8.55,15.78,1.56,9.99,17.12,28.95,7.14,10.48,17.17,,0.09,25.1,17.89,13.05,7.88,36.95,20.57
2000-05-31,2.08,7.11,17.71,1.49,23.41,11.46,13.25,7.68,6.17,23.29,15.81,8.35,15.22,1.5,9.85,16.84,29.88,6.84,10.32,16.64,,0.09,24.91,18.0,12.68,7.73,39.89,20.9
2000-06-01,2.1,7.3,17.21,1.56,23.93,11.43,13.43,7.7,6.19,23.61,16.12,8.34,15.07,1.51,9.99,16.64,30.25,6.95,10.42,17.21,,0.09,24.52,17.76,12.64,7.92,39.46,21.36
2000-06-02,2.01,7.15,17.11,1.55,24.74,11.29,13.72,7.33,6.05,24.97,16.7,8.33,14.68,1.49,10.13,16.74,29.6,6.54,10.26,16.44,,0.09,24.68,17.32,12.56,7.97,40.89,21.63
2000-06-05,2.03,7.07,17.79,1.52,24.19,11.17,13.36,7.3,5.99,24.25,16.52,8.16,14.43,1.51,9.92,16.32,29.45,6.37,9.94,16.56,,0.08,24.18,17.13,12.13,8.12,41.06,21.13
2000-06-06,2.05,6.81,16.89,1.51,24.45,11.13,13.74,7.12,6.12,23.15,16.32,8.37,14.9,1.54,9.78,16.22,29.94,6.37,9.92,17.53,,0.08,25.1,17.12,12.34,7.97,40.33,20.8
2000-06-07,2.13,7.11,18.07,1.51,24.71,11.38,14.35,7.26,6.24,23.88,16.03,8.42,15.29,1.6,9.99,16.36,29.12,6.5,10.38,18.15,,0.08,25.38,16.74,12.83,7.92,40.07,20.3
2000-06-08,2.15,7.11,18.04,1.51,24.34,11.34,14.23,7.22,6.3,23.38,16.14,8.3,15.36,1.55,9.92,16.88,28.9,6.37,10.26,18.23,,0.08,26.07,15.56,12.49,7.83,39.37,20.62
2000-06-09,2.15,6.85,17.75,1.52,23.89,11.23,14.32,7.16,6.44,23.56,16.43,8.19,15.2,1.51,9.85,15.8,29.24,6.33,10.14,18.06,,0.08,25.34,15.43,12.58,7.83,37.38,21.13
2000-06-12,2.21,6.63,17.46,1.56,23.93,11.3,14.46,7.2,6.39,22.92,16.7,8.34,15.12,1.61,9.78,16.41,29.13,6.46,10.38,17.62,,0.09,25.78,15.26,12.36,7.68,36.52,20.83
2000-06-13,2.18,6.55,17.75,1.59,25.7,11.54,13.99,7.18,6.34,23.43,16.54,8.42,15.42,1.58,9.85,16.53,28.75,6.54,10.34,18.8,,0.09,26.3,15.43,12.45,7.63,38.08,20.9
2000-06-14,2.18,6.36,17.86,1.57,26.4,11.46,14.39,7.22,6.33,23.74,16.62,8.47,15.62,1.61,9.71,16.43,29.4,6.5,10.66,19.13,,0.09,26.72,15.43,12.56,7.53,38.2,21.22
2000-06-15,2.19,6.29,17.68,1.67,27.66,12.08,14.73,7.18,6.44,24.2,16.6,8.42,15.64,1.71,9.85,16.71,29.52,6.46,11.41,19.52,,0.09,26.64,15.36,12.75,7.73,38.46,21.5
2000-06-16,2.06,6.22,17.46,1.59,26.48,12.0,14.57,7.05,6.43,23.7,16.58,8.14,15.16,1.63,9.78,16.05,29.09,6.31,11.53,19.38,,0.09,26.87,15.02,12.53,7.68,37.34,21.17
