Date,APA,BKR,COG,CVX,COP,DVN,EOG,XOM,HAL,HP,HES,HFC,MRO,NOV,NBL,OXY,OKE,PXD,SLB,FTI,VLO,WMB
2000-03-27,14.33,14.7,0.81,17.92,6.7,16.76,3.64,21.29,12.45,6.49,12.25,0.1,2.3728,11.36,5.09,3.92,1.18,8.81,25.11,,3.97,16.48
2000-03-28,14.9,15.23,0.8,17.98,6.72,17.03,3.81,21.98,12.31,6.35,12.43,0.1,2.3345,11.27,5.1,3.94,1.15,8.58,24.24,,3.93,15.22
2000-03-29,16.12,16.29,0.84,18.75,6.92,17.89,4.16,22.4,13.14,6.58,12.99,0.1,2.4366,12.19,5.44,4.02,1.18,8.75,25.58,,3.86,16.07
2000-03-30,16.71,15.82,0.87,19.53,7.11,18.94,4.54,21.88,13.24,6.77,13.63,0.09,2.5769,11.82,5.77,4.18,1.19,9.53,24.51,,4.03,15.91
2000-03-31,16.79,15.99,0.87,19.58,7.21,19.46,4.18,21.71,13.43,7.06,13.64,0.09,2.6598,11.99,5.89,4.28,1.21,10.0,24.12,,3.99,16.09
2000-04-03,16.49,16.25,0.87,19.56,7.25,19.66,4.59,22.4,13.88,7.24,13.69,0.09,2.6343,11.65,6.06,4.29,1.21,10.0,25.6,,4.15,15.98
2000-04-04,16.14,15.99,0.81,19.03,7.19,19.04,4.48,22.96,13.06,6.9,13.65,0.09,2.5769,10.85,5.73,4.25,1.21,9.47,24.97,,3.93,14.93
2000-04-05,15.74,15.03,0.83,18.54,7.11,18.94,4.4,22.19,12.41,6.7,13.19,0.08,2.4812,10.2,5.59,4.32,1.19,9.29,23.25,,3.76,14.63
2000-04-06,16.26,15.03,0.84,18.84,7.26,19.34,4.59,22.75,12.8,6.95,13.51,0.08,2.5195,10.56,5.63,4.47,1.21,9.53,23.65,,3.74,15.15
2000-04-07,16.45,15.33,0.82,18.31,7.18,18.99,4.66,22.14,12.94,7.07,13.22,0.08,2.5068,11.73,5.49,4.42,1.2,9.41,23.21,,3.85,15.47
2000-04-10,15.67,13.74,0.81,18.23,7.12,18.29,4.44,21.77,12.51,6.62,13.19,0.08,2.4366,11.22,5.32,4.41,1.19,8.75,22.17,,3.78,14.93
2000-04-11,16.31,15.2,0.82,18.79,7.3,18.31,4.63,22.09,13.12,7.0,13.35,0.09,2.4749,11.14,5.38,4.45,1.19,8.75,23.0,,3.84,14.33
2000-04-12,16.87,15.56,0.86,18.86,7.47,18.54,4.82,22.24,13.33,7.34,13.46,0.08,2.6088,11.53,5.73,4.47,1.2,9.23,23.1,,4.06,13.71
2000-04-13,16.6,15.03,0.87,18.42,7.48,19.14,4.89,22.26,12.84,6.92,13.56,0.09,2.5705,10.88,5.72,4.46,1.24,9.29,22.62,,4.01,14.19
2000-04-14,16.22,15.0,0.84,18.15,7.63,18.79,4.64,21.91,12.69,6.99,13.38,0.08,2.4812,10.61,5.68,4.42,1.22,9.29,22.13,,3.76,13.32
2000-04-17,15.27,14.8,0.84,17.57,7.33,17.76,4.57,21.01,12.55,6.82,13.09,0.08,2.4111,9.69,5.45,4.3,1.24,9.11,21.54,,3.69,13.55
2000-04-18,15.69,15.03,0.86,17.92,7.31,17.81,4.74,21.2,13.61,7.0,13.09,0.08,2.443,10.22,5.71,4.15,1.23,9.35,23.29,,3.89,13.44
2000-04-19,16.37,15.1,0.84,17.96,7.43,18.41,4.62,21.55,13.53,6.86,13.24,0.08,2.5961,10.05,5.99,4.21,1.23,9.29,23.25,,4.06,14.06
2000-04-20,15.97,15.79,0.86,18.29,7.41,18.24,4.75,21.98,13.8,7.14,13.24,0.08,2.4175,10.44,6.02,4.24,1.25,9.11,23.19,,3.92,13.87
2000-04-24,16.54,15.33,0.87,18.06,7.64,18.06,4.64,22.23,13.59,7.0,13.36,0.08,2.4111,10.46,6.33,4.32,1.23,9.35,23.43,,3.93,13.37
2000-04-25,16.16,15.49,0.9,17.97,7.71,18.54,4.71,22.54,13.53,6.92,13.46,0.08,2.4876,9.37,6.44,4.41,1.26,9.65,23.63,,4.0,13.8
2000-04-26,16.22,16.78,0.88,18.29,7.71,18.79,4.71,22.3,14.24,7.07,13.53,0.08,2.4557,8.91,6.21,4.49,1.31,9.05,24.38,,3.71,13.74
2000-04-27,16.16,16.81,0.9,18.74,7.77,19.16,4.79,22.45,14.86,7.16,13.55,0.08,2.4749,9.23,6.39,4.52,1.28,9.65,24.79,,3.83,13.53
2000-04-28,16.35,16.81,0.89,18.03,7.53,19.29,4.96,21.62,14.43,7.13,13.43,0.08,2.3728,9.3,6.47,4.42,1.29,9.83,24.14,,3.77,13.74
2000-05-01,16.98,17.15,0.92,18.29,7.69,19.19,5.16,21.71,14.45,7.1,13.55,0.08,2.3601,9.71,7.01,4.51,1.3,10.0,23.65,,3.76,14.06
2000-05-02,17.09,18.1,0.91,18.92,7.68,18.89,5.36,21.77,15.47,7.27,13.56,0.08,2.4366,9.71,7.1,4.51,1.3,10.18,24.46,,3.72,14.33
2000-05-03,16.58,17.57,0.89,18.5,7.66,18.69,5.23,21.57,14.78,7.17,13.19,0.08,2.3473,9.57,6.69,4.38,1.29,10.0,23.77,,3.63,13.69
2000-05-04,17.97,18.56,0.87,18.72,7.76,19.64,5.52,22.12,15.35,7.36,13.65,0.08,2.3792,9.69,7.11,4.47,1.29,11.08,23.96,,3.65,13.87
2000-05-05,18.9,18.66,0.88,19.23,7.8,19.91,5.67,22.26,15.31,7.77,13.67,0.08,2.4175,9.81,7.02,4.58,1.31,11.55,24.48,,3.73,13.78
2000-05-08,19.32,18.56,0.9,19.45,7.84,20.42,5.78,22.38,15.8,7.73,14.0,0.08,2.4621,9.71,7.01,4.68,1.31,11.26,24.14,,3.93,14.03
2000-05-09,18.9,18.73,0.96,19.09,7.83,20.09,5.7,22.11,15.98,7.7,13.84,0.08,2.4111,10.05,7.11,4.69,1.29,11.02,24.5,,3.96,13.76
