Date,AFL,ALL,AXP,AIG,AON,AJG,AIZ,BAC,BK,BLK,COF,SCHW,CB,CINF,C,CME,CMA,ETFC,RE,FITB,BEN,GL,GS,HIG,HBAN,IVZ,JPM,KEY,LNC,L,MTB,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SIVB,TROW,TRV,TFC,USB,UNM,WRB,WFC,WLTW,ZION
2000-03-27,5.32,13.45,33.08,1003.97,21.41,7.35,,13.67,27.5,15.01,35.08,32.71,8.4,14.46,374.54,,23.43,290.72,20.29,24.97,6.63,7.15,89.32,27.85,9.5,15.06,34.96,9.78,19.42,5.54,25.95,26.82,,8.69,52.51,,42.41,1.78,24.65,,3.39,,6.5,9.64,14.27,33.96,35.47,11.47,17.54,13.76,12.2,9.43,1.32,9.78,,29.44
2000-03-28,5.29,13.99,33.52,1005.78,20.96,7.34,,13.53,27.81,13.61,35.77,32.78,8.63,14.85,380.38,,23.68,273.45,20.78,25.5,6.47,7.04,90.32,27.89,9.75,14.92,34.8,10.04,19.22,5.69,25.79,27.43,,8.55,51.34,,44.57,1.77,25.03,,3.52,,6.34,9.72,13.92,34.88,36.19,11.33,17.84,13.79,12.3,9.68,1.32,9.73,,29.67
2000-03-29,5.42,13.99,33.33,1026.27,20.96,7.43,,13.13,27.5,13.44,35.67,32.4,8.68,15.07,378.82,,23.26,262.87,21.19,25.2,6.51,7.08,91.06,28.92,10.07,14.87,33.37,9.95,19.94,5.67,26.23,27.22,,8.3,50.61,,44.19,1.78,24.93,,3.68,,6.36,9.8,14.23,35.68,35.22,11.49,17.96,14.1,12.39,9.92,1.41,9.43,,29.5
2000-03-30,5.39,14.37,32.75,1047.96,23.02,7.93,,12.83,27.5,13.91,36.56,32.17,9.56,15.84,380.38,,22.77,256.75,21.82,24.77,6.72,7.29,85.23,30.57,9.73,14.73,32.12,9.82,22.28,5.82,25.86,30.04,,8.26,49.09,,43.64,1.81,24.93,,3.94,,6.28,9.61,14.43,34.53,35.19,12.04,19.58,13.67,12.06,10.67,1.64,9.37,,28.6
2000-03-31,5.52,14.72,32.74,1055.79,23.07,8.07,,13.24,29.08,13.78,37.79,31.08,10.45,16.93,373.37,,23.33,268.44,23.53,25.37,6.84,7.19,83.94,34.78,10.3,15.5,32.19,9.95,21.33,5.94,26.04,31.98,,8.3,48.35,,45.71,1.87,25.46,,3.84,,6.54,9.99,14.08,35.85,35.94,12.41,20.48,14.04,12.26,11.21,1.7,9.75,,31.07
2000-04-03,5.69,15.15,34.18,1134.14,22.57,8.13,,14.02,30.47,14.04,38.63,31.04,10.28,17.52,386.62,,24.44,244.49,22.54,27.04,6.91,7.37,84.14,33.62,10.53,15.55,34.16,10.21,21.05,6.36,27.17,30.79,,8.16,49.81,,47.61,1.9,26.76,,3.95,,6.44,10.73,13.92,39.27,34.66,12.08,20.4,14.67,13.09,11.45,1.69,10.45,,29.86
2000-04-04,5.64,14.91,32.31,1107.62,21.77,7.93,,13.68,29.17,14.12,36.71,27.26,9.96,17.56,367.91,,24.13,217.2,22.18,26.22,6.69,7.25,78.35,32.88,10.44,14.75,32.28,10.04,21.09,6.18,26.95,30.44,,8.01,45.87,,46.07,1.89,25.92,,3.97,,6.04,10.51,14.23,37.84,32.34,11.66,19.8,14.86,12.86,11.0,1.66,10.35,,31.07
2000-04-05,5.56,14.53,31.76,1059.41,21.46,8.13,,13.64,29.34,14.59,36.51,29.03,9.96,17.97,365.96,,24.06,209.41,22.14,25.47,6.97,7.39,77.71,32.26,10.21,15.11,32.14,9.82,20.93,6.15,26.53,29.39,8.88,7.87,46.53,,44.95,1.89,25.67,,3.91,,6.16,10.22,14.51,37.33,27.38,12.1,19.61,14.48,12.62,11.25,1.62,10.15,,30.7
2000-04-06,5.6,14.1,30.99,1072.06,21.55,8.15,,13.49,29.12,15.23,36.95,31.69,9.62,17.97,369.86,,23.85,217.2,21.82,25.96,7.11,7.43,84.54,31.4,10.13,14.86,32.54,9.85,20.19,6.16,26.59,30.68,8.91,8.16,49.77,,46.6,1.88,25.78,,3.88,,6.26,10.05,14.76,35.87,29.0,12.1,19.35,14.39,12.62,11.29,1.62,9.69,,31.72
2000-04-07,5.51,13.99,30.57,1048.56,20.92,8.18,,13.21,28.29,16.5,37.25,30.05,9.71,18.0,367.91,,23.68,218.87,21.73,25.0,6.95,7.39,81.74,30.7,9.75,14.89,32.14,9.49,19.79,6.16,26.04,29.34,8.77,8.11,49.34,,45.29,1.86,25.03,,3.82,,6.04,9.61,14.51,34.69,28.66,12.7,19.13,13.95,12.52,11.0,1.64,9.51,,30.32
2000-04-10,5.58,14.3,31.47,1090.75,20.2,8.12,,13.34,29.82,16.33,37.94,30.43,9.88,18.14,388.18,,23.92,217.2,21.51,25.9,6.78,7.49,85.38,31.44,9.93,14.89,32.8,9.42,19.87,6.1,25.63,29.65,8.84,8.16,51.78,,45.37,1.8,25.7,,3.81,,6.1,9.66,14.04,36.08,26.03,12.65,19.28,14.1,12.56,11.25,1.63,9.45,,31.63
2000-04-11,5.7,14.06,31.91,1117.86,20.25,8.1,,13.22,28.82,16.37,38.82,29.51,9.59,18.14,395.58,,24.27,208.85,21.28,25.9,7.0,7.49,83.59,31.23,9.96,14.95,32.0,9.52,20.35,6.13,26.71,29.73,8.66,8.11,50.21,,46.41,1.78,26.41,,3.84,,5.98,9.61,13.71,36.22,27.92,12.71,19.39,14.01,13.42,11.08,1.62,9.66,,33.68
2000-04-12,5.71,14.37,33.13,1114.85,20.2,8.13,,13.78,30.35,16.25,39.61,27.8,9.85,17.97,392.85,,25.03,202.72,21.23,25.9,7.42,7.53,77.01,31.89,10.53,15.22,32.31,9.82,21.12,6.26,26.82,30.11,9.27,8.11,46.64,,45.2,1.87,26.99,,3.91,,5.96,9.69,14.0,37.51,26.75,12.35,19.5,14.46,14.09,11.29,1.6,10.05,,34.06
2000-04-13,5.69,14.49,32.09,1093.16,19.53,8.15,,13.34,30.17,15.91,36.8,26.71,10.05,18.29,390.13,,25.0,197.15,21.37,25.5,7.11,7.49,75.96,31.23,9.9,14.72,31.45,9.62,22.28,6.24,27.27,29.93,9.74,7.82,44.15,,42.83,1.79,26.74,,3.86,,5.85,9.57,13.29,35.92,26.97,11.78,19.73,14.18,13.42,11.12,1.59,9.99,,35.46
2000-04-14,5.58,12.91,29.45,1040.13,18.37,8.01,,12.61,27.59,15.65,33.8,22.08,9.62,17.49,361.68,,22.84,170.98,20.02,23.79,6.51,7.02,65.99,29.17,9.38,13.22,29.35,9.0,20.19,5.91,26.18,27.97,9.09,7.87,39.11,,39.11,1.75,25.53,,3.55,,5.33,9.04,13.33,32.24,18.0,10.8,18.0,13.23,13.39,10.79,1.51,9.57,,33.73
2000-04-17,5.53,12.98,29.45,979.86,17.92,7.75,,12.71,27.68,15.27,33.9,22.9,9.42,18.01,369.47,,23.43,162.07,20.51,24.95,6.38,7.02,69.78,30.86,9.03,12.95,29.26,9.23,20.19,6.19,25.37,26.86,9.24,8.21,40.31,,39.79,1.84,25.38,,3.5,,5.39,9.01,13.23,33.37,17.0,11.43,18.04,13.51,13.12,10.46,1.55,9.42,,33.54
