Date,ABT,ABMD,A,ALXN,ALGN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,BMY,CAH,CNC,CERN,CI,COO,CVS,DHR,DVA,XRAY,EW,GILD,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PKI,PRGO,PFE,DGX,REGN,RMD,STE,SYK,TFX,TMO,UNH,UHS,VAR,VRTX,WAT,ZBH
2000-03-27,6.33,22.56,70.47,21.12,,32.71,2.88,49.11,,8.22,19.7,39.15,10.97,24.78,16.56,,3.36,22.87,15.01,12.63,0.0,0.88,8.09,4.12,1.89,3.5,2.25,6.65,6.7,,54.38,,20.55,9.84,32.1,16.87,0.0,28.78,40.56,11.34,26.86,6.49,17.67,6.96,37.56,7.42,8.03,13.69,21.42,17.62,5.86,9.63,10.32,28.66,46.62,0.0
2000-03-28,6.45,23.0,73.47,21.23,,31.5,2.88,51.1,,8.24,19.83,37.83,10.69,24.98,16.34,,3.34,22.0,15.25,12.65,0.0,0.88,8.42,4.02,1.91,3.32,2.2,6.76,6.55,,51.66,,21.21,10.0,31.97,18.36,0.0,28.98,39.5,10.97,26.14,6.35,17.83,7.4,33.75,7.93,8.03,14.02,21.6,17.05,5.82,9.52,10.1,27.72,44.38,0.0
2000-03-29,6.64,21.97,69.08,17.47,,31.5,2.89,50.64,,8.23,19.65,32.21,10.47,26.25,15.99,,3.3,22.4,15.56,13.48,0.0,0.9,8.18,4.0,1.81,3.21,2.09,6.94,6.38,,41.25,,20.94,9.69,32.37,18.52,0.0,30.13,40.5,10.99,26.34,6.43,18.5,7.27,29.69,7.53,7.93,13.58,21.42,16.28,5.85,9.56,10.08,26.09,43.91,0.0
2000-03-30,6.76,19.06,64.76,12.02,,31.5,2.79,49.01,,8.4,19.38,28.92,10.12,25.97,15.96,,3.24,23.55,14.8,13.74,0.0,0.98,8.05,3.84,1.6,3.09,1.91,7.0,5.5,,39.81,,20.84,9.53,32.24,17.56,0.0,30.16,40.5,10.96,25.38,6.41,18.56,7.26,28.69,7.59,8.03,13.78,22.88,16.23,6.04,9.98,9.76,24.0,43.12,0.0
2000-03-31,6.7,20.25,64.14,17.44,,33.34,2.89,49.93,,8.56,19.24,32.75,10.66,25.91,15.94,,3.35,22.89,15.68,13.9,0.0,1.04,8.44,3.39,1.72,3.17,1.98,6.76,5.83,,43.72,,20.7,10.62,33.23,17.94,0.0,29.25,40.94,11.57,26.27,6.68,18.6,7.81,29.56,7.79,8.33,14.6,25.74,16.85,6.29,10.8,10.0,23.41,47.62,0.0
2000-04-03,7.05,19.12,60.44,15.69,,32.71,2.82,48.3,,8.88,19.74,31.38,10.34,27.98,16.85,,3.27,24.17,16.26,14.32,0.0,1.0,8.14,3.44,1.63,3.04,1.94,7.11,5.73,,41.06,,21.29,10.47,34.69,18.04,0.0,31.43,40.19,11.46,25.18,6.43,19.33,7.82,28.5,8.05,8.44,14.65,24.6,16.54,6.55,10.8,9.66,22.81,43.56,0.0
2000-04-04,7.51,18.69,57.67,14.25,,34.55,3.0,45.91,,8.86,19.79,32.17,10.56,30.05,17.03,,3.03,23.57,16.1,15.17,0.0,1.02,8.16,3.5,1.61,3.14,1.81,7.05,5.5,,40.22,,22.61,10.47,36.61,17.51,0.0,31.87,40.0,11.91,24.09,6.27,20.22,7.54,22.25,6.9,9.25,14.44,24.51,16.12,6.41,10.91,9.67,21.44,44.03,0.0
2000-04-05,7.07,18.12,59.79,15.72,,38.17,3.09,48.5,,8.83,19.88,36.67,10.5,29.34,16.96,,3.09,23.92,16.8,15.03,0.0,1.02,8.18,3.48,1.69,3.12,1.94,6.94,5.55,,47.31,,22.83,10.47,35.8,17.46,0.0,32.13,40.12,12.46,23.33,6.32,19.64,7.88,21.56,7.64,9.4,14.37,24.88,16.38,6.33,11.03,9.66,24.38,45.88,0.0
2000-04-06,7.2,20.75,64.76,16.0,,37.7,3.24,50.69,,8.56,19.74,35.69,10.62,27.55,16.64,,3.1,24.11,16.68,14.36,0.0,1.04,8.21,3.58,1.79,3.21,1.88,7.34,5.92,,54.25,,22.06,10.94,34.96,17.4,0.0,30.87,40.06,12.46,23.55,6.38,19.52,8.14,26.38,7.28,9.2,14.26,25.42,16.64,6.51,11.18,10.06,27.78,46.59,0.0
2000-04-07,6.97,20.0,75.25,15.44,,37.64,3.22,49.57,,8.48,19.51,33.77,10.5,27.1,16.66,,3.97,23.32,17.05,14.36,0.0,1.06,8.27,3.61,1.72,3.16,1.78,7.57,5.73,,50.0,,21.82,11.09,34.13,17.24,0.0,30.84,40.56,12.72,24.98,6.38,19.74,8.25,27.69,7.46,9.05,14.2,25.15,17.73,6.52,11.17,10.52,27.16,48.69,0.0
