Date,MMM,ALK,AME,AOS,ARNC,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,GD,GE,GWW,HON,IEX,ITW,IR,J,JBHT,JCI,KSU,LHX,LMT,MAS,NSC,NOC,ODFL,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,ROL,ROP,SNA,LUV,SWK,TXT,TT,UNP,UPS,URI,UTX,WAB,WM
2000-03-27,25.06,6.38,1.87,0.53,59.08,23.86,7.35,9.72,28.43,2.97,2.77,3.54,10.61,17.99,2.99,11.02,12.15,8.76,1.98,34.52,0.0,14.48,27.13,38.56,28.31,8.18,17.72,9.56,7.4,3.19,37.63,81.15,11.48,10.75,11.73,9.66,14.03,1.1,4.84,17.06,6.11,41.76,11.26,4.84,14.94,9.84,0.39,14.05,15.18,11.98,14.98,18.92,0.79,4.03,38.45,15.19,17.72,4.77,8.72
2000-03-28,25.13,6.56,1.77,0.53,58.31,24.42,7.35,9.54,28.14,2.97,2.72,3.43,10.4,18.03,2.93,11.06,12.24,9.08,2.05,34.16,0.0,14.27,26.8,39.26,27.61,7.98,17.3,9.79,7.29,3.0,37.59,84.94,11.18,11.32,11.45,8.94,13.86,1.04,4.69,18.18,5.92,39.77,11.42,4.81,14.91,9.69,0.39,14.31,15.18,12.48,15.09,19.09,0.79,3.87,36.66,14.94,17.83,4.71,7.99
2000-03-29,24.78,6.45,1.75,0.54,59.13,24.34,7.11,9.71,27.17,2.95,2.73,3.46,10.64,18.4,2.96,11.41,11.9,8.99,2.06,33.88,0.0,14.25,28.0,39.26,28.9,8.06,17.52,10.12,7.29,3.23,37.12,85.23,10.68,11.62,11.29,9.02,13.78,1.1,4.79,18.52,5.87,38.49,11.49,4.7,15.41,9.32,0.4,13.89,15.26,12.29,15.59,19.11,0.79,3.94,35.94,14.75,17.77,4.74,8.64
2000-03-30,25.17,6.35,1.91,0.55,58.93,24.83,6.94,10.15,28.14,2.83,2.75,3.34,11.15,18.72,3.0,12.48,12.12,8.72,2.06,34.38,0.0,14.63,27.27,38.21,30.38,7.86,17.73,10.71,7.4,3.22,37.13,81.91,10.76,12.6,11.32,9.1,13.96,1.03,4.84,18.66,6.12,39.77,11.2,4.7,16.54,9.45,0.44,13.92,15.56,12.17,16.12,19.62,0.69,3.87,35.63,15.75,18.93,4.88,8.45
2000-03-31,25.05,6.62,1.93,0.56,57.59,24.3,6.54,9.82,30.58,2.92,2.7,3.46,10.85,18.69,3.05,12.45,12.4,8.22,2.11,34.55,0.0,15.07,26.74,38.04,31.08,7.93,16.88,10.43,7.73,2.87,37.32,80.22,11.08,12.33,10.67,9.18,13.95,1.03,5.05,18.55,6.16,40.23,10.85,4.84,17.91,9.93,0.45,14.23,15.82,12.71,16.04,19.9,0.79,4.07,38.32,17.25,19.49,4.88,8.37
2000-04-03,25.98,6.39,1.97,0.57,58.82,23.9,6.14,10.43,30.48,3.04,2.64,3.43,11.1,18.72,3.04,12.42,12.76,7.62,1.99,34.89,0.0,15.41,27.66,38.82,32.07,7.86,18.08,10.43,7.73,3.04,37.6,76.72,10.26,12.33,11.72,9.26,13.82,1.03,5.03,18.77,6.57,41.76,11.16,5.28,17.82,9.84,0.44,13.68,15.63,12.44,16.16,20.93,0.79,4.03,36.13,16.38,19.09,5.17,8.68
2000-04-04,26.28,6.39,1.97,0.56,57.95,23.98,7.09,10.81,31.51,2.99,2.65,3.53,11.47,19.5,2.99,12.98,12.64,8.18,2.0,34.27,0.0,15.73,26.46,37.68,31.7,7.82,18.33,11.08,7.37,2.91,35.22,66.33,9.7,12.26,11.45,9.54,14.56,1.04,5.32,19.31,6.54,35.71,11.27,5.14,17.61,9.94,0.43,13.13,15.79,12.44,16.0,21.05,0.79,4.03,35.18,15.94,19.49,5.0,8.72
2000-04-05,25.77,6.83,1.97,0.56,56.72,23.18,6.91,10.57,29.91,2.91,2.74,3.48,11.51,19.35,2.95,12.8,12.73,8.15,1.98,35.05,0.0,15.57,26.34,35.58,31.11,7.89,18.04,10.74,7.38,3.06,34.81,72.81,9.96,12.64,11.72,10.27,14.56,0.94,5.12,19.14,6.36,39.03,12.04,5.17,17.89,10.09,0.44,12.95,15.41,12.98,16.16,20.27,0.79,4.27,35.4,15.69,18.82,5.03,8.45
2000-04-06,26.41,6.8,2.01,0.56,58.16,23.22,7.09,10.53,29.36,3.1,2.72,3.38,11.42,19.62,3.0,12.89,13.28,8.19,2.04,34.66,0.0,15.64,26.95,36.15,30.74,7.96,17.94,10.66,7.4,3.01,35.55,74.62,9.94,12.79,11.53,10.23,14.84,0.87,5.05,19.62,6.28,40.85,12.69,5.5,18.22,10.28,0.44,12.84,15.6,13.01,16.5,20.27,0.79,4.29,36.43,15.25,18.97,5.06,8.76
2000-04-07,25.91,6.6,2.03,0.58,55.7,22.94,7.62,10.3,30.39,3.17,2.6,3.35,11.14,19.55,3.01,12.85,13.9,7.84,2.13,34.0,0.0,15.53,27.28,34.66,30.45,7.93,17.79,10.4,7.38,2.97,37.13,73.04,10.2,12.71,11.43,10.55,14.44,0.94,4.73,19.73,6.41,40.56,12.38,5.72,18.69,10.39,0.43,12.66,15.63,13.17,16.23,19.92,0.69,4.24,37.04,15.0,18.8,5.2,9.14
2000-04-10,26.23,6.69,2.02,0.57,55.49,22.54,7.32,10.32,28.97,3.11,2.56,3.32,11.21,19.91,2.98,12.86,13.59,7.69,2.22,36.05,0.0,15.53,27.39,34.14,31.55,7.86,18.12,10.72,7.53,2.83,36.95,70.3,9.8,12.75,11.33,10.51,14.69,0.92,4.79,20.04,6.43,41.7,12.65,5.72,18.93,10.33,0.42,12.58,15.22,13.36,15.89,19.99,0.69,4.33,38.94,14.56,19.74,4.88,9.52
2000-04-11,26.99,6.91,2.0,0.57,57.7,22.94,7.39,10.47,29.46,3.06,2.57,3.33,11.51,20.5,3.05,13.36,13.78,7.86,2.24,36.61,0.0,15.66,27.77,35.01,33.07,7.8,18.33,10.62,7.5,2.96,36.85,65.69,9.68,12.6,11.95,11.35,14.9,0.94,5.01,20.54,6.6,39.77,12.61,5.64,18.88,10.6,0.42,13.0,15.52,13.62,16.38,19.94,0.69,4.49,38.45,14.5,19.82,4.97,9.37
2000-04-12,26.76,6.91,1.99,0.57,57.64,24.18,8.07,10.81,29.56,3.17,2.5,3.28,12.12,20.4,3.02,13.24,14.05,8.09,2.49,37.0,0.0,16.01,26.93,35.45,31.19,7.89,19.55,11.03,7.5,2.95,34.67,63.82,9.25,13.31,12.9,11.39,15.05,0.9,4.96,21.13,6.45,41.26,13.22,5.45,18.81,10.39,0.43,12.64,16.09,13.09,17.22,20.88,0.69,4.56,37.42,14.06,19.82,5.26,9.33
2000-04-13,26.8,6.87,1.99,0.59,57.23,23.78,7.73,10.46,29.85,3.15,2.5,3.55,11.85,20.69,3.1,13.36,13.28,7.96,2.56,35.83,0.0,16.14,25.86,35.14,32.7,7.98,18.96,11.37,7.5,2.98,34.25,63.88,9.23,13.05,12.67,11.23,15.82,0.94,4.79,20.09,6.38,40.02,13.11,5.53,18.38,10.34,0.42,12.74,15.94,13.05,17.11,20.33,0.69,4.45,36.66,14.88,18.78,5.08,8.91
2000-04-14,25.68,6.53,2.01,0.64,55.39,22.74,7.24,10.08,26.34,3.07,2.44,3.37,11.49,19.94,2.92,12.73,12.98,7.9,2.56,33.16,0.0,15.72,25.04,31.73,31.92,8.0,18.06,9.88,7.32,2.97,32.39,59.33,8.93,12.48,12.28,10.99,15.66,0.94,4.52,18.47,5.98,39.03,12.15,5.39,17.68,9.75,0.42,12.64,15.03,12.71,16.61,19.41,0.69,4.27,33.46,14.38,17.35,5.14,8.45
2000-04-17,25.42,6.38,1.95,0.63,52.98,22.7,7.25,10.19,31.12,3.0,2.39,3.38,11.21,19.72,3.01,12.9,12.73,7.26,2.55,32.27,0.0,15.43,26.11,32.51,32.44,8.21,18.65,10.27,7.24,3.19,34.15,56.94,8.95,12.86,11.92,10.87,16.81,0.9,4.72,18.91,6.3,37.16,12.27,5.5,18.53,9.3,0.45,12.87,15.79,11.68,17.3,19.58,0.69,4.14,35.29,14.81,18.37,5.31,8.26
