Date,ACN,ADBE,AMD,AKAM,ADS,APH,ADI,ANSS,AAPL,AMAT,ADSK,ADP,CDNS,CSCO,CTXS,CTSH,GLW,DXC,FFIV,FIS,FISV,FLIR,IT,GPN,HPQ,INTC,IBM,INTU,JKHY,JNPR,KLAC,LRCX,MXIM,MCHP,MU,MSFT,MSI,NTAP,NVDA,ORCL,PAYX,QCOM,STX,SWKS,SNPS,TXN,VRSN,WDC,XRX,XLNX,ZBRA
2000-03-27,,28.21,27.09,208.69,,5.66,59.75,2.55,4.33,41.37,12.13,26.9,22.62,61.98,78.9,2.77,53.24,21.98,43.34,,6.18,0.98,20.69,,13.47,45.73,82.8,26.92,14.27,122.61,50.31,48.07,41.88,17.82,69.75,33.38,160.81,84.17,6.68,38.5,19.96,52.28,,55.86,24.56,64.86,160.7,6.56,58.81,62.09,23.33
2000-03-28,,27.59,27.56,199.88,,5.47,55.34,2.75,4.31,38.89,11.82,25.09,21.75,60.28,73.73,2.81,52.18,21.42,42.0,,6.07,1.0,19.0,,12.96,43.49,79.94,25.6,13.6,136.17,47.81,45.24,41.84,16.7,68.25,33.46,161.31,82.71,6.18,37.68,19.72,54.34,,53.05,23.25,64.12,159.22,6.11,58.37,60.71,22.69
2000-03-29,,27.65,27.38,170.0,,5.28,58.56,2.75,4.21,36.89,11.0,24.67,20.5,58.88,67.0,2.65,50.31,21.06,38.75,,6.06,1.04,18.19,,12.44,42.27,77.66,23.72,13.62,127.74,43.77,41.1,39.05,15.92,67.25,34.39,152.45,79.46,5.77,35.92,20.03,55.28,,51.21,22.53,61.23,143.72,6.16,58.37,57.53,22.25
2000-03-30,,26.61,30.0,160.06,,5.28,52.96,2.62,3.9,35.44,10.73,24.57,20.0,56.99,56.27,2.4,47.89,20.94,35.53,,5.96,0.98,17.75,,12.05,40.71,80.11,23.26,13.15,118.43,44.58,41.33,36.77,15.81,60.5,33.16,141.64,68.48,5.74,34.15,19.98,50.98,,47.79,22.0,58.47,129.07,5.47,57.96,54.98,21.44
2000-03-31,,27.64,29.5,160.81,,5.6,54.66,2.69,4.21,35.91,11.0,24.99,20.62,59.85,51.69,2.51,49.42,21.74,33.88,,6.2,1.02,15.75,,12.21,42.29,77.25,24.83,14.62,116.9,47.39,40.87,42.4,17.77,63.0,34.09,143.6,71.62,6.48,33.98,19.82,52.41,,43.66,24.38,57.35,126.95,5.92,56.73,59.23,22.22
2000-04-03,,26.21,30.44,119.0,,5.51,50.37,2.55,4.13,34.01,10.64,25.9,18.12,56.46,51.88,2.17,46.09,21.79,29.19,,6.31,1.0,16.0,,12.21,41.87,79.62,22.52,13.92,103.35,43.35,35.38,39.12,15.11,60.0,29.15,135.98,58.75,5.97,33.47,19.89,49.4,,42.45,22.78,54.04,99.03,5.67,54.68,55.52,21.31
2000-04-04,,25.26,30.56,115.47,,5.53,48.21,2.48,3.95,37.39,10.68,26.42,17.06,56.61,50.81,2.26,42.8,21.98,33.5,,6.21,0.92,15.69,,12.73,42.55,79.09,23.6,13.38,93.37,44.79,37.13,40.99,15.65,57.41,28.41,132.41,57.99,5.75,33.06,19.32,51.46,,44.14,22.0,52.24,101.9,5.12,55.37,55.14,21.06
2000-04-05,,26.61,34.19,110.0,,5.69,49.56,2.7,4.04,39.7,10.97,25.99,17.75,55.83,53.25,2.09,42.29,23.19,32.06,,5.79,0.94,15.44,,13.08,41.63,81.57,22.66,13.85,97.03,45.77,41.95,40.69,17.61,65.5,27.71,144.59,60.21,7.03,34.07,18.73,49.58,,46.41,22.09,53.77,110.71,6.11,55.64,59.81,21.83
2000-04-06,,28.46,35.5,135.12,,6.05,53.51,2.75,3.88,40.65,10.86,27.16,18.0,55.59,55.35,2.17,44.74,23.19,34.47,,6.14,0.93,15.38,,13.65,41.61,80.11,22.26,14.37,107.01,50.13,45.13,40.16,18.12,65.44,27.59,142.37,63.18,7.36,35.78,19.3,48.83,,49.17,21.88,57.35,131.84,6.16,59.73,57.8,23.56
2000-04-07,,31.04,37.75,145.69,,6.49,53.64,2.75,4.08,43.77,11.17,27.0,17.88,58.01,60.56,2.1,49.93,22.45,36.56,,6.16,0.94,15.62,,14.37,43.85,80.35,22.98,15.46,119.5,54.81,50.4,42.1,19.66,64.19,28.57,151.22,69.19,7.87,37.93,19.44,53.44,,51.21,23.09,59.68,149.88,6.02,60.55,58.61,24.06
2000-04-10,,29.1,37.75,133.31,,6.43,48.21,2.72,3.88,39.39,10.73,26.84,17.88,56.17,65.29,1.82,48.19,21.43,33.12,,6.01,0.94,16.44,,13.57,42.03,79.7,18.72,13.72,105.57,47.14,44.67,38.11,17.88,60.81,27.61,148.52,58.53,7.17,35.92,18.38,49.55,,47.71,22.12,56.05,129.65,5.62,59.18,53.91,22.33
2000-04-11,,29.67,35.31,107.75,,6.42,46.34,2.5,3.7,39.87,10.36,26.42,17.19,54.19,62.22,1.89,43.37,21.07,32.5,,5.96,0.95,16.56,,13.44,41.91,77.9,18.04,14.21,99.02,48.58,44.9,37.44,18.53,58.31,26.91,121.96,55.07,6.74,33.69,19.37,48.24,,43.69,22.06,53.77,124.61,5.32,57.96,55.65,21.78
2000-04-12,,27.82,38.0,92.75,,6.31,42.27,2.5,3.39,37.18,9.43,25.77,16.0,50.32,53.64,1.77,39.23,21.02,28.31,,6.29,0.95,15.56,,12.44,39.06,74.23,17.1,14.19,90.54,43.87,43.09,34.61,16.9,55.44,25.46,113.97,49.06,6.04,31.83,19.98,43.92,,40.44,21.12,50.36,113.04,4.97,58.09,51.45,21.14
2000-04-13,,28.2,35.5,88.0,,6.21,42.18,2.47,3.53,33.91,9.44,24.76,15.75,47.32,46.62,1.72,38.98,21.3,28.22,,6.22,0.89,14.88,,12.16,38.82,72.19,16.27,13.38,77.62,36.42,38.95,34.12,16.85,53.25,25.42,115.08,49.28,5.79,31.32,20.2,44.4,,37.31,21.0,50.85,97.39,5.37,55.64,49.98,21.17
2000-04-14,,24.29,33.0,64.88,,5.07,39.81,2.17,3.47,30.6,8.67,23.83,13.5,44.12,42.33,1.4,36.68,20.9,22.12,,5.69,0.82,13.0,,11.33,35.42,68.52,14.61,12.66,70.11,32.41,33.11,30.02,14.22,48.03,23.78,107.21,43.6,5.28,27.21,18.09,36.92,,32.17,19.72,49.82,83.04,4.77,52.64,41.57,20.53
2000-04-17,,28.13,36.31,70.0,,5.31,44.22,2.2,3.84,36.82,9.06,24.15,14.75,51.48,46.23,1.45,37.83,20.75,24.41,,5.96,0.83,12.81,,12.32,39.42,73.01,15.47,14.07,76.54,38.25,38.89,36.99,16.18,57.0,24.34,114.59,44.95,5.55,32.57,19.08,41.02,,40.44,19.38,53.41,94.04,4.47,54.28,46.31,21.36
2000-04-18,,29.05,39.5,91.5,,6.14,44.52,2.25,3.93,38.48,9.49,25.38,15.75,53.61,51.59,1.54,40.06,21.42,28.38,,5.99,0.83,12.75,,12.81,41.35,72.76,16.78,15.01,87.82,40.5,44.33,37.11,17.6,63.25,25.84,116.06,52.15,6.53,34.37,18.99,39.38,,46.35,21.5,53.77,118.46,4.92,52.37,49.71,22.17
2000-04-19,,27.96,37.62,88.94,,6.31,42.82,2.36,3.76,34.87,9.62,25.44,16.56,51.19,50.91,1.69,40.76,21.3,27.5,,5.9,0.84,12.94,,12.51,38.16,68.52,15.96,16.0,81.06,36.31,38.61,35.32,15.96,58.5,25.24,105.49,52.42,6.22,32.46,18.4,40.28,,48.71,20.56,51.26,111.17,5.57,56.18,47.65,20.64
2000-04-20,,27.96,39.12,86.94,,6.19,43.96,2.72,3.69,35.48,8.87,26.22,16.19,50.41,40.77,1.8,38.75,22.22,26.38,,6.19,0.84,12.88,,12.85,36.98,67.87,15.98,15.28,82.56,36.63,38.83,35.65,15.94,62.62,25.32,109.18,49.23,6.18,30.83,19.2,38.43,,45.49,20.41,51.97,100.62,4.92,54.68,48.32,24.25
2000-04-24,,26.01,40.5,75.88,,6.03,41.76,2.66,3.74,34.77,8.82,27.94,15.5,49.11,36.13,1.78,38.47,21.54,26.06,,6.19,0.83,13.0,,12.19,37.22,69.5,14.5,15.68,77.43,35.93,36.28,35.09,15.55,61.69,21.37,103.28,43.82,5.88,31.54,19.7,34.97,,40.38,19.75,50.63,84.38,4.82,52.64,45.06,24.17
2000-04-25,,29.8,43.75,73.06,,6.57,45.07,2.66,3.98,36.32,9.34,27.94,16.94,51.09,45.01,1.84,45.09,22.88,29.35,,7.0,0.77,14.0,,12.84,40.06,73.42,16.24,15.56,85.38,37.19,37.64,39.31,16.5,64.94,22.26,110.65,59.5,6.52,32.9,20.93,36.83,,46.41,21.22,54.48,94.26,5.57,58.23,50.34,25.69
2000-04-26,,28.52,41.12,73.5,,6.37,44.52,2.73,3.76,34.46,8.81,27.58,16.75,51.67,41.55,1.77,46.05,22.48,22.06,,7.1,0.83,13.75,,12.95,38.72,72.11,16.95,14.27,86.77,35.82,35.43,35.58,15.4,64.38,21.81,116.06,52.9,6.45,31.43,19.63,34.13,,41.07,20.0,53.41,90.89,5.42,61.09,46.85,24.25
2000-04-27,,30.65,42.62,83.12,,6.57,48.59,2.7,3.93,38.22,8.87,28.1,16.94,53.41,43.84,1.76,48.39,23.12,22.5,,7.67,0.82,13.62,,12.7,40.16,72.19,18.27,15.95,92.67,39.9,40.59,38.37,16.26,67.5,22.4,114.59,58.48,6.98,33.66,20.14,36.33,,47.73,21.12,57.19,107.25,6.16,59.05,51.94,25.17
2000-04-28,,30.03,43.75,98.88,,6.98,52.15,2.7,3.85,38.79,9.29,27.87,16.81,53.67,47.64,1.85,50.31,22.41,23.34,,7.66,0.82,13.5,,12.44,40.65,72.76,16.41,15.66,94.34,42.12,41.61,38.67,16.77,69.66,22.38,117.05,63.99,6.84,34.8,19.95,38.06,,47.79,21.0,58.4,118.35,5.47,57.82,52.39,25.33
2000-05-01,,32.45,44.19,103.31,,6.55,52.75,2.66,3.85,38.08,9.74,27.94,17.69,55.3,43.69,2.13,50.82,22.38,21.75,,7.71,0.93,14.5,,12.81,40.75,73.09,16.5,15.85,97.11,40.25,40.02,40.39,16.75,65.88,23.56,119.63,61.45,7.06,34.69,19.04,38.52,,48.31,21.19,57.37,115.48,5.72,59.05,51.23,25.5
2000-05-02,,28.68,44.75,105.38,,6.46,48.42,2.58,3.65,36.63,9.46,27.55,17.94,52.64,37.94,2.18,48.86,22.46,20.69,,7.52,1.01,14.19,,12.72,38.84,72.68,15.76,14.83,87.77,38.64,38.38,38.11,15.72,62.75,22.42,114.46,56.47,6.78,33.88,17.93,39.9,,47.1,20.31,55.75,107.42,5.32,57.82,48.06,23.31
