Date,APD,ALB,AVY,BLL,DD,EMN,ECL,FMC,FCX,IP,IFF,LIN,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,VMC
2000-03-27,15.51,5.92,34.54,0.76,31.12,7.52,13.04,4.59,3.67,19.75,21.32,12.34,34.44,11.94,17.65,5.66,5.66,9.58,18.79,15.7,32.25
2000-03-28,15.58,5.74,33.94,0.76,30.96,7.55,13.07,4.8,3.72,19.39,21.16,12.53,34.34,11.94,17.6,5.68,5.63,9.62,18.83,15.96,32.25
2000-03-29,15.79,5.62,34.83,0.76,31.74,7.58,13.19,4.84,3.36,19.47,21.81,12.87,34.11,11.45,17.36,5.75,5.63,9.84,18.72,15.87,32.66
2000-03-30,16.08,5.99,36.01,0.78,33.81,7.83,13.78,4.94,3.31,20.65,21.89,13.4,34.06,11.94,17.41,5.78,5.63,10.28,19.87,15.7,33.16
2000-03-31,15.9,6.5,36.09,0.82,33.08,7.81,13.85,4.93,3.28,22.0,22.7,13.46,35.95,11.65,17.46,5.96,6.02,10.12,20.48,15.83,33.39
2000-04-03,16.85,6.27,35.13,0.84,34.79,8.24,14.04,5.02,3.3,22.03,23.18,13.48,35.38,11.79,17.46,5.89,5.91,10.25,20.84,15.92,34.16
2000-04-04,16.64,6.35,35.09,0.83,34.48,8.06,13.94,5.03,3.26,21.39,23.1,13.54,34.06,11.75,18.28,5.86,5.77,10.41,20.65,15.78,33.66
2000-04-05,16.6,6.13,34.5,0.85,33.57,8.0,14.25,4.98,3.33,20.71,22.78,13.25,34.86,11.25,18.38,5.8,5.88,10.19,20.25,16.86,34.07
2000-04-06,16.53,6.23,34.35,0.87,34.24,8.05,14.29,5.1,3.31,20.78,22.53,13.56,34.58,11.1,17.94,5.87,6.2,10.22,20.2,17.13,33.71
2000-04-07,16.36,6.37,34.13,0.86,33.52,7.91,14.13,5.04,2.97,20.39,22.53,13.38,34.34,10.9,18.04,5.58,6.02,10.07,21.19,16.72,33.07
2000-04-10,16.46,6.21,35.31,0.86,33.61,8.11,14.29,4.94,3.14,21.93,22.9,13.42,34.82,11.05,17.94,5.75,5.91,10.05,22.13,17.62,32.98
