Date,ARE,AMT,AIV,AVB,BXP,CCI,DRE,EQIX,EQR,ESS,FRT,PEAK,HST,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,SLG,UDR,VTR,VNO,WELL,WY
2000-03-27,15.6,43.32,14.3,16.03,15.71,31.87,5.98,,6.87,16.52,8.01,2.06,4.57,4.7,2.73,7.5,9.35,10.5,2.34,7.7,48.84,8.45,12.48,3.54,1.26,8.0,4.14,28.94
2000-03-28,15.3,43.85,14.35,16.17,15.77,30.72,5.94,,6.88,16.49,8.04,2.06,4.67,4.69,2.71,7.52,9.27,10.6,2.31,7.67,48.71,8.45,12.57,3.52,1.24,8.01,4.1,28.97
2000-03-29,15.14,42.94,14.42,16.37,15.9,30.22,6.04,,6.94,16.84,8.09,2.05,4.68,4.74,2.76,7.52,9.3,10.63,2.32,7.6,45.29,8.42,13.0,3.52,1.26,8.04,4.14,29.83
2000-03-30,15.05,43.05,14.23,16.57,16.03,28.73,6.08,,6.98,16.84,8.15,2.04,4.75,4.72,2.76,7.67,9.3,10.66,2.31,7.6,39.82,8.54,12.7,3.57,1.31,8.15,4.03,31.07
2000-03-31,14.89,42.51,14.3,16.68,16.19,30.22,6.26,,6.94,16.87,8.23,2.06,4.78,4.77,2.78,7.61,9.43,10.26,2.2,7.74,43.8,8.47,12.63,3.61,1.31,8.14,3.86,29.92
2000-04-03,15.02,38.85,14.23,16.57,16.16,26.73,6.2,,7.0,17.04,8.15,2.04,4.82,4.72,2.9,7.56,9.49,10.6,2.27,7.57,41.31,8.54,12.7,3.57,1.31,8.18,3.88,30.68
2000-04-04,15.2,37.83,14.21,16.62,16.29,27.33,6.18,,7.06,17.13,8.25,2.02,4.82,4.67,2.87,7.56,9.57,10.63,2.29,7.84,38.45,8.54,12.54,3.59,1.36,8.2,3.83,29.83
2000-04-05,15.05,40.2,14.35,16.76,16.51,28.23,6.28,,7.13,17.19,8.41,2.04,4.75,4.76,2.96,7.61,9.54,10.75,2.31,7.82,39.57,8.47,12.8,3.63,1.34,8.29,3.97,29.79
2000-04-06,15.3,43.05,14.49,16.85,17.37,31.42,6.31,,7.15,17.48,8.65,2.03,5.12,4.68,2.96,7.63,9.51,10.87,2.31,7.92,42.49,8.54,13.0,3.66,1.36,8.27,4.05,30.06
2000-04-07,15.42,42.89,14.7,17.05,17.43,30.72,6.43,,7.27,17.48,8.95,2.04,5.29,4.52,2.99,7.69,9.51,10.87,2.34,7.97,44.92,8.69,13.0,3.59,1.41,8.35,4.02,30.61
2000-04-10,15.64,40.25,14.87,17.08,17.53,31.77,6.49,,7.4,17.42,8.81,2.04,5.32,4.31,3.02,7.69,9.54,10.9,2.35,7.99,42.93,8.76,12.93,3.61,1.46,8.38,4.02,31.86
2000-04-11,15.64,39.28,14.94,17.22,17.46,29.33,6.41,,7.39,17.45,8.79,2.05,5.36,4.21,3.08,7.77,9.6,10.99,2.31,8.09,38.45,8.81,13.0,3.66,1.49,8.56,4.09,32.22
2000-04-12,15.76,37.24,14.98,17.13,17.56,26.78,6.49,,7.49,17.63,8.97,2.13,5.63,4.53,3.08,8.0,9.65,11.02,2.36,8.11,39.69,8.92,13.0,3.69,1.53,8.65,4.33,32.52
2000-04-13,15.88,35.94,15.12,17.25,17.49,27.93,6.55,,7.57,17.66,8.97,2.1,5.56,4.62,3.08,8.06,9.71,11.05,2.35,8.11,38.32,9.22,12.87,3.69,1.51,8.41,4.36,30.81
2000-04-14,15.88,34.6,14.96,17.25,17.3,26.23,6.53,,7.56,17.71,8.81,2.13,5.39,4.43,3.07,8.19,9.65,10.99,2.39,8.26,35.71,9.08,13.27,3.66,1.41,8.42,4.19,29.04
2000-04-17,15.88,35.73,14.91,16.76,17.3,25.73,6.49,,7.55,17.8,8.76,2.16,5.32,4.34,3.08,8.19,9.63,11.15,2.36,8.19,34.09,8.94,13.03,3.64,1.46,8.38,4.26,28.87
2000-04-18,15.82,37.67,14.98,17.25,17.37,28.73,6.49,,7.66,17.74,8.65,2.19,5.39,4.61,3.09,7.98,9.71,11.05,2.37,8.19,39.94,8.99,13.17,3.64,1.49,8.38,4.33,28.09
