Date,AES,LNT,AEE,AEP,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-03-27,29.3,5.77,11.7,12.23,7.73,6.29,10.32,11.3,6.15,12.12,23.52,9.4,9.24,6.69,10.99,8.82,8.23,9.66,0.87,,11.15,3.28,4.26,8.77,4.77,3.48,7.73
2000-03-28,28.71,5.66,11.46,11.95,7.56,6.12,10.28,11.13,5.99,12.23,23.14,9.22,9.24,6.61,11.03,8.68,8.12,9.42,0.86,,11.17,3.17,4.27,8.62,4.72,3.49,7.73
2000-03-29,29.72,5.87,11.6,12.18,7.45,6.26,10.25,11.28,6.01,12.12,23.8,9.55,9.41,6.66,10.99,8.79,8.25,9.25,0.89,,11.43,3.22,4.47,8.81,4.7,3.58,7.83
2000-03-30,31.39,5.98,11.58,12.2,7.28,6.36,10.18,11.33,6.2,12.07,23.89,9.62,9.09,6.27,11.09,8.78,8.43,9.53,0.9,,11.61,3.28,4.52,8.71,4.69,3.64,8.14
2000-03-31,31.05,6.21,11.7,12.15,7.34,6.63,9.84,11.33,6.25,11.89,24.24,9.58,9.32,6.29,11.32,8.72,8.46,9.55,0.92,,11.72,3.3,4.5,8.43,4.7,3.7,8.14
2000-04-03,30.7,6.05,11.77,12.15,7.25,6.47,9.77,11.28,6.27,11.95,24.93,9.93,9.29,5.97,11.06,8.74,8.64,9.39,0.89,,11.72,3.28,4.51,8.37,4.89,3.73,8.09
2000-04-04,29.3,5.99,12.08,12.56,7.08,6.71,9.88,11.74,6.45,12.07,25.97,9.86,9.55,6.12,11.06,9.31,8.79,9.57,0.89,,11.9,3.33,4.56,8.37,5.0,3.74,8.32
2000-04-05,29.79,6.13,12.31,12.89,6.94,6.77,10.01,11.6,6.5,12.12,24.87,9.89,9.99,6.12,10.99,9.59,9.02,9.55,0.92,,12.18,3.34,4.57,8.55,5.0,3.79,8.42
2000-04-06,29.81,6.01,12.17,12.46,6.94,6.42,9.91,11.6,6.4,12.07,24.38,10.04,9.55,5.99,11.03,9.37,8.97,9.48,0.92,,12.08,3.36,4.55,8.55,4.85,3.77,8.29
2000-04-07,30.36,5.96,11.96,12.43,6.94,6.35,9.91,11.55,6.29,12.0,24.15,9.89,9.47,5.94,11.06,9.39,8.87,9.65,0.91,,12.03,3.35,4.47,8.62,4.81,3.72,8.22
